rank,trade_date,stock_id,stock_name,close,total_score,original_total_score,multi_factor_score,multi_factor_reason,trend_score,momentum_score,fundamental_score,chip_score,risk_score,revenue_score,revenue_yoy,revenue_mom,accumulated_revenue_yoy,revenue_reason,fundamental_reason,valuation_score,pe_ratio,pb_ratio,dividend_yield,valuation_reason,valuation_warning,financial_score,eps,roe,gross_margin,operating_margin,debt_ratio,financial_reason,financial_warning,event_score,event_reason,event_risk_level,event_blocked,institutional_score,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,institutional_reason,is_candidate,risk_pass,risk_reason,reason,stop_loss_price,suggested_position_pct
1,2026-05-14,8926,台汽電,57.6,84.7,84.7,67.35,原始技術/動能分數 84.7；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,99.0,100.0,50.0,50.0,100.0,50.0,,,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,估值資料不足，採中性分數,,50.0,,,,,,財報資料不足，採中性分數,,50.0,近期無重大事件風險,NONE,False,50.0,,,,籌碼資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,53.44,0.1
2,2026-05-14,2425,承啟,35.2,83.92,83.92,66.96,原始技術/動能分數 83.92；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,100.0,95.69,50.0,50.0,100.0,50.0,,,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,估值資料不足，採中性分數,,50.0,,,,,,財報資料不足，採中性分數,,50.0,近期無重大事件風險,NONE,False,50.0,,,,籌碼資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,32.45,0.1
3,2026-05-14,6719,力智,208.5,83.77,83.77,66.88,原始技術/動能分數 83.77；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,100.0,95.09,50.0,50.0,100.0,50.0,,,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,估值資料不足，採中性分數,,50.0,,,,,,財報資料不足，採中性分數,,50.0,近期無重大事件風險,NONE,False,50.0,,,,籌碼資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,192.0,0.1
4,2026-05-14,2428,興勤,212.0,83.49,83.49,66.75,原始技術/動能分數 83.49；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,100.0,96.96,50.0,50.0,95.0,50.0,,,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,估值資料不足，採中性分數,,50.0,,,,,,財報資料不足，採中性分數,,50.0,近期無重大事件風險,NONE,False,50.0,,,,籌碼資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,195.04,0.1
5,2026-05-14,3356,奇偶,62.7,83.43,83.43,66.72,原始技術/動能分數 83.43；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,100.0,93.72,50.0,50.0,100.0,50.0,,,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,估值資料不足，採中性分數,,50.0,,,,,,財報資料不足，採中性分數,,50.0,近期無重大事件風險,NONE,False,50.0,,,,籌碼資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,57.94,0.1
6,2026-05-14,3003,健和興,61.0,83.35,83.35,66.67,原始技術/動能分數 83.35；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,100.0,93.42,50.0,50.0,100.0,50.0,,,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,估值資料不足，採中性分數,,50.0,,,,,,財報資料不足，採中性分數,,50.0,近期無重大事件風險,NONE,False,50.0,,,,籌碼資料不足，採中性分數,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,56.37,0.1
7,2026-05-14,6579,研揚,147.5,82.9,82.9,66.45,原始技術/動能分數 82.9；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,100.0,94.58,50.0,50.0,95.0,50.0,,,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,估值資料不足，採中性分數,,50.0,,,,,,財報資料不足，採中性分數,,50.0,近期無重大事件風險,NONE,False,50.0,,,,籌碼資料不足，採中性分數,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,135.7,0.0
8,2026-05-14,7788,松川精密,206.0,82.45,82.45,66.22,原始技術/動能分數 82.45；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,100.0,100.0,50.0,50.0,83.0,50.0,,,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,估值資料不足，採中性分數,,50.0,,,,,,財報資料不足，採中性分數,,50.0,近期無重大事件風險,NONE,False,50.0,,,,籌碼資料不足，採中性分數,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,189.52,0.0
9,2026-05-14,6449,鈺邦,239.5,82.45,82.45,66.22,原始技術/動能分數 82.45；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,100.0,100.0,50.0,50.0,83.0,50.0,,,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,估值資料不足，採中性分數,,50.0,,,,,,財報資料不足，採中性分數,,50.0,近期無重大事件風險,NONE,False,50.0,,,,籌碼資料不足，採中性分數,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,220.34,0.0
10,2026-05-14,6166,凌華,111.5,82.45,82.45,66.22,原始技術/動能分數 82.45；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,100.0,100.0,50.0,50.0,83.0,50.0,,,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,估值資料不足，採中性分數,,50.0,,,,,,財報資料不足，採中性分數,,50.0,近期無重大事件風險,NONE,False,50.0,,,,籌碼資料不足，採中性分數,1,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,102.58,0.0
