trade_date,stock_id,stock_name,decision,hold,reduce,exit_review,near_stop_loss,near_take_profit,data_quality_warning,current_price,stop_loss_price,unrealized_pnl_pct,risk_light,review_reason
2026-06-03,2376,技嘉,REDUCE,False,True,False,False,False,False,399.0,293.43,0.258675,,一般人工確認
2026-06-03,6206,飛捷,REDUCE,False,True,False,False,False,False,141.5,110.93,0.189076,,一般人工確認
2026-06-03,1256,鮮活果汁-KY,HOLD,True,False,False,False,False,False,201.5,175.07,0.011551,,一般人工確認
2026-06-03,8926,台汽電,REDUCE,False,True,False,False,False,False,70.4,52.98,0.178051,,一般人工確認
2026-06-03,2030,彰源,HOLD,True,False,False,False,False,False,18.85,16.67,0.029026,,一般人工確認
2026-06-03,2425,承啟,HOLD,True,False,False,False,False,False,36.45,32.45,0.028632,,一般人工確認
2026-06-03,6579,研揚,REDUCE,False,True,False,False,False,False,167.5,138.46,0.123038,,一般人工確認
2026-06-03,4562,穎漢,EXIT,False,False,True,True,False,False,40.7,39.51,-0.06958,,一般人工確認
2026-06-03,2478,大毅,REDUCE,False,True,False,False,False,False,137.0,88.6,0.422694,,一般人工確認
2026-06-03,6902,GOGOLOOK,REDUCE,False,True,False,False,False,False,147.0,116.84,0.138396,,一般人工確認
