trade_date,total_equity,unrealized_pnl,realized_pnl_after_cost,total_equity_after_cost,today_total_pnl,total_return_pct,data_quality_note
2026-06-18,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-18,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-18,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-18,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-22,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-23,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-24,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-25,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-26,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-26,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-26,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-29,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-06-30,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-07-01,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-07-02,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-07-03,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-07-03,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-07-03,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-07-06,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
2026-07-07,1000000.0,0.0,0.0,1000000.0,0.0,0.0,
