trade_date,stock_id,stock_name,source_name,source_type,source_date,field_name,field_value,evidence_summary,fallback_used,confidence_impact
2026-06-05,6585,鼎基,candidate,csv,2026-06-05,candidate_grade,B,candidate_grade=B,False,0.8
2026-06-05,6585,鼎基,candidate,csv,2026-06-05,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-05,6585,鼎基,candidate,csv,2026-06-05,pe_ratio,22.86,pe_ratio=22.86,False,0.8
2026-06-05,6585,鼎基,candidate,csv,2026-06-05,pb_ratio,2.18,pb_ratio=2.18,False,0.8
2026-06-05,6585,鼎基,candidate,csv,2026-06-05,dividend_yield,4.02,dividend_yield=4.02,False,0.8
2026-06-05,6585,鼎基,candidate,csv,2026-06-05,margin_change_5d,195.0,margin_change_5d=195.0,False,0.8
2026-06-05,6585,鼎基,candidate,csv,2026-06-05,price_return_5d,0.1498973305954825,price_return_5d=0.1498973305954825,False,0.8
2026-06-05,6585,鼎基,candidate,csv,2026-06-05,liquidity_score,60.0,liquidity_score=60.0,False,0.8
2026-06-05,6585,鼎基,candidate,csv,2026-06-05,sector_strength_score,64.0,sector_strength_score=64.0,False,0.8
2026-06-05,6585,鼎基,candidate,csv,2026-06-05,risk_flags,融資連增但股價不漲,risk_flags=融資連增但股價不漲,False,0.8
2026-06-05,9934,成霖,candidate,csv,2026-06-05,candidate_grade,C,candidate_grade=C,False,0.8
2026-06-05,9934,成霖,candidate,csv,2026-06-05,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-05,9934,成霖,candidate,csv,2026-06-05,pb_ratio,0.72,pb_ratio=0.72,False,0.8
2026-06-05,9934,成霖,candidate,csv,2026-06-05,dividend_yield,0.9,dividend_yield=0.9,False,0.8
2026-06-05,9934,成霖,candidate,csv,2026-06-05,margin_change_5d,-646.0,margin_change_5d=-646.0,False,0.8
2026-06-05,9934,成霖,candidate,csv,2026-06-05,price_return_5d,0.1380020597322346,price_return_5d=0.1380020597322346,False,0.8
2026-06-05,9934,成霖,candidate,csv,2026-06-05,liquidity_score,50.0,liquidity_score=50.0,False,0.8
2026-06-05,9934,成霖,candidate,csv,2026-06-05,sector_strength_score,50.0,sector_strength_score=50.0,False,0.8
2026-06-05,9934,成霖,candidate,csv,2026-06-05,risk_flags,流動性偏低；PE 為空或負值,risk_flags=流動性偏低；PE 為空或負值,False,0.8
2026-06-05,2108,南帝,candidate,csv,2026-06-05,candidate_grade,B,candidate_grade=B,False,0.8
2026-06-05,2108,南帝,candidate,csv,2026-06-05,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-05,2108,南帝,candidate,csv,2026-06-05,pe_ratio,36.95,pe_ratio=36.95,False,0.8
2026-06-05,2108,南帝,candidate,csv,2026-06-05,pb_ratio,1.11,pb_ratio=1.11,False,0.8
2026-06-05,2108,南帝,candidate,csv,2026-06-05,dividend_yield,3.11,dividend_yield=3.11,False,0.8
