rank,trade_date,stock_id,stock_name,close,total_score,original_total_score,multi_factor_score,multi_factor_reason,trend_score,momentum_score,fundamental_score,chip_score,risk_score,credit_score,event_risk_score,liquidity_score,sector_strength_score,revenue_score,monthly_revenue,revenue_yoy,revenue_mom,accumulated_revenue_yoy,revenue_data_month,requested_revenue_month,latest_available_month,revenue_source_status,revenue_3m_trend,revenue_12m_high,revenue_warning,revenue_reason,fundamental_reason,valuation_score,pe_ratio,pb_ratio,dividend_yield,valuation_source,valuation_source_status,valuation_reason,valuation_warning,financial_score,eps,roe,gross_margin,operating_margin,debt_ratio,financial_source,financial_source_status,financial_period,financial_reason,financial_warning,event_score,event_reason,event_risk_level,event_keywords,event_warning,event_blocked,institutional_score,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,total_institutional_net_buy,foreign_buy_days,investment_trust_buy_days,institutional_buy_ratio,institutional_warning,institutional_reason,margin_balance,margin_change,short_balance,short_change,securities_lending_sell_volume,securities_lending_balance,margin_usage_warning,short_selling_warning,is_attention_stock,attention_reason,is_disposition_stock,disposition_start_date,disposition_end_date,disposition_reason,industry,sub_industry,industry_source,sector_strength_mode,stock_return_5d,stock_return_20d,market_return_5d,market_return_20d,sector_return_5d,sector_return_20d,relative_strength_5d,relative_strength_20d,sector_strength_rank,sector_strength_reason,sector_strength_warning,avg_volume_20d,avg_turnover_20d,latest_volume,latest_turnover,turnover_ratio_20d,intraday_trading_ratio,liquidity_warning,slippage_risk_score,market_type,tracking_index,fund_size,expense_ratio,discount_premium,top_holdings_available,etf_data_quality_flags,positive_signals,warning_signals,blocking_risks,momentum_signal,risk_flags,data_quality_flags,investment_risk_flags,candidate_grade,grade_reason,grade_risk_flags,requires_manual_review,review_level,review_reason,data_source_warning,system_comment,market_intel_status,requested_date,actual_data_date,fallback_date,fallback_reason,cache_age_days,is_stale_data,data_freshness_level,market_intel_source,market_intel_warning,market_close,market_volume,volume_change_ratio,market_pe_ratio,market_pb_ratio,market_dividend_yield,market_revenue_growth_yoy,market_eps_growth_yoy,latest_news_titles,matched_news_keywords,news_sentiment_score,market_fundamental_score,market_valuation_score,market_momentum_score,market_chip_score,final_market_score,confidence_score,market_risk_score,final_comment,is_candidate,technical_risk_pass,tradable_pass,risk_pass,risk_reason,reason,stop_loss_price,suggested_position_pct
1,2026-06-05,6585,鼎基,112.0,85.0,85.0,67.87,原始技術總分 85.0；月營收年增率大於 20%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan,100.0,99.99,68.0,50.0,100.0,40.0,50.0,60.0,64.0,68.0,324912.0,27.45845690345055,24.64830067942132,-5.138797106767075,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%,月營收年增率大於 20%,55.0,22.86,2.18,4.02,TWSE OpenAPI BWIBBU_ALL,OK,殖利率穩定,,56.0,1.86,,34.6832,20.4606,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-278980.0,0.0,0.0,-290564.0,0,0,,,三大法人籌碼中性,2516.0,195.0,1.0,0.0,,,,,False,,False,,,,其他,其他,twse,industry_relative,0.1498973305954825,0.1914893617021276,0.0217018320957745,0.0710729257966095,0.0299677446520551,0.0052205771992978,0.1199295859434273,0.1862687845028297,101.0,個股 20 日強於大盤；短線相對強勢；nan,nan,308500.8,31441118.4,1621915.0,181512819.0,5.773103128545198,,nan,65.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,融資連增但股價不漲,,融資連增但股價不漲,C,資料可信度偏低,融資連增但股價不漲,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：資料可信度偏低,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,OK_WITH_FALLBACK,2026-06-06,2026-06-05,2026-06-05,non_trading_day,1.0,False,RECENT,mixed,市場事件資料不足，採中性處理,112.0,,,22.24,2.12,4.13,27.45845690345055,,無重大事件資料 原始技術總分 85.0；月營收年增率大於 20%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,55.0,99.99,50.0,65.5,90.0,34.5,有投資風險標籤，需降低優先度,1,True,True,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,104.64,0.1
2,2026-06-05,9934,成霖,11.05,84.64,84.64,66.68,原始技術總分 84.64；月營收 YoY 正成長；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；個股強但產業偏弱，降低信心；nan,100.0,98.56,58.0,50.0,100.0,,,,,58.0,1566853.0,3.1740690745069635,-8.306716182954334,5.492590763172263,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長,月營收 YoY 正成長,55.0,,0.72,0.9,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理,PE 為空或負值,56.0,0.28,,34.2072,4.6111,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-1468000.0,0.0,0.0,-1534446.0,0,0,,,三大法人籌碼中性,6069.0,-646.0,21.0,17.0,,,,,False,,False,,,,居家生活,居家生活,twse,industry_relative,0.1380020597322346,0.1920172599784251,0.0217018320957745,0.0710729257966095,0.0338317368450437,-0.0154122981827653,0.1041703228871909,0.2074295581611904,88.0,個股 20 日強於大盤；短線相對強勢；個股強但產業偏弱，降低信心；nan,nan,1660282.45,17816510.95,9337369.0,103018280.0,5.782180376904829,,nan,50.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向,流動性偏低；PE 為空或負值,,20 日相對強勢；5 日相對強勢；動能分數偏強,,,流動性偏低；PE 為空或負值,C,資料可信度偏低,流動性偏低；PE 為空或負值,True,RISK_REVIEW,投資風險：流動性偏低；PE 為空或負值；資料不足：資料可信度偏低,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,True,True,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,10.5,0.1
3,2026-06-05,2108,南帝,32.15,84.51,84.51,70.19,原始技術總分 84.51；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 相對合理；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan,100.0,98.05,80.0,50.0,100.0,40.0,50.0,75.0,78.0,80.0,1309892.0,47.29654814126791,33.48211192226013,23.57462426831197,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,60.0,36.95,1.11,3.11,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理；殖利率穩定,,56.0,0.34,,27.237,12.4148,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-2527640.0,0.0,0.0,-2553548.0,0,0,,,三大法人籌碼中性,3288.0,199.0,286.0,24.0,,,,,False,,False,,,,橡膠工業,橡膠工業,twse,industry_relative,0.1885397412199629,0.1280701754385964,0.0217018320957745,0.0710729257966095,0.0644698034302875,0.0333468924313934,0.1240699377896753,0.094723283007203,205.0,個股 20 日強於大盤；短線相對強勢；nan,nan,2420227.8,70739449.35,13801843.0,438595320.0,6.200151740366919,,nan,80.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,融資連增但股價不漲；未通過既有風控,,融資連增但股價不漲,C,資料可信度偏低,融資連增但股價不漲,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：資料可信度偏低,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,OK_WITH_FALLBACK,2026-06-06,2026-06-05,2026-06-05,non_trading_day,1.0,False,RECENT,mixed,市場事件資料不足，採中性處理,32.15,,,35.52,1.06,3.24,47.29654814126791,,無重大事件資料 原始技術總分 82.1；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 相對合理；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,61.0,100.0,50.0,67.55,90.0,32.45,有投資風險標籤，需降低優先度,1,True,True,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,29.99,0.1
4,2026-06-05,2597,潤弘,184.5,83.84,83.84,68.48,原始技術總分 83.84；月營收 YoY 正成長；累計營收 YoY 大於 10%；PB 過高扣分；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan,100.0,95.37,70.0,50.0,100.0,,,,,70.0,2729069.0,16.52544344944166,18.228676812385928,18.21667549612032,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長；累計營收 YoY 大於 10%,月營收 YoY 正成長；累計營收 YoY 大於 10%,45.0,16.24,6.16,5.24,TWSE OpenAPI BWIBBU_ALL,OK,PB 過高扣分；殖利率穩定,PB 偏高,56.0,2.38,,17.7039,13.491,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-366571.0,1849000.0,0.0,1516956.0,0,1,,,三大法人籌碼中性,310.0,-44.0,131.0,0.0,,,,,False,,False,,,,建材營造,建材營造,twse,industry_relative,0.1114457831325301,0.1826923076923077,0.0217018320957745,0.0710729257966095,0.0437963126719605,0.0124388016496891,0.0676494704605696,0.1702535060426186,116.0,個股 20 日強於大盤；短線相對強勢；nan,nan,1263083.55,216853098.4,3810246.0,702527787.0,3.239648371102084,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,PB 偏高,,20 日相對強勢；5 日相對強勢；動能分數偏強,,,PB 偏高,C,資料可信度偏低,PB 偏高,True,RISK_REVIEW,投資風險：PB 偏高；資料不足：資料可信度偏低,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,True,True,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,172.71,0.1
5,2026-06-05,1904,正隆,21.9,83.2,83.2,67.8,原始技術總分 83.2；月營收 YoY 正成長；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan,100.0,100.0,58.0,50.0,88.0,50.0,50.0,92.0,78.0,58.0,3958958.0,16.521300460968924,-4.56897453586861,5.111300072022466,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長,月營收 YoY 正成長,55.0,17.95,0.82,2.05,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理,,56.0,0.56,,20.6305,6.6797,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,1371180.0,-2000.0,0.0,1418886.0,1,0,,,三大法人籌碼中性,3804.0,-446.0,6.0,-22.0,,,,,False,,False,,,,造紙工業,造紙工業,twse,industry_relative,0.1526315789473684,0.2550143266475644,0.0217018320957745,0.0710729257966095,0.0940679195657546,0.0819758942377478,0.0585636593816137,0.1730384324098165,115.0,個股 20 日強於大盤；短線相對強勢；nan,nan,5414059.65,110117609.0,17508718.0,380459681.0,3.455030348506749,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,,,,D,未通過既有風控,未通過既有風控,True,RISK_REVIEW,投資風險：未通過既有風控,,資料中性，仍以原本技術面與風控結果為準；非交易日，使用最近交易日資料。,OK_WITH_FALLBACK,2026-06-06,2026-06-05,2026-06-05,non_trading_day,1.0,False,RECENT,mixed,,21.9,,,18.28,0.83,2.02,16.521300460968924,,無重大事件資料 原始技術總分 82.45；月營收 YoY 正成長；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,68.0,100.0,50.0,69.6,100.0,30.4,資料中性，仍以原本技術面與風控結果為準,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,20.38,0.0
6,2026-06-05,1810,和成,22.6,83.2,83.2,65.05,原始技術總分 83.2；基本面資料中性；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan,100.0,100.0,50.0,50.0,88.0,,,,,50.0,370499.0,-6.2165555437429445,1.3846360131239412,-7.614371639178666,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,基本面資料中性,基本面資料中性,55.0,5.98,0.85,0.88,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理,,56.0,3.64,,17.3554,-19.134,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-1153051.0,-15594.0,0.0,-1101076.0,0,0,,,三大法人籌碼中性,21287.0,2221.0,61.0,44.0,,,,,False,,False,,,,玻璃陶瓷,玻璃陶瓷,manual,industry_relative,0.158974358974359,0.2216216216216218,0.0217018320957745,0.0710729257966095,0.1005822061461331,0.1761640150319396,0.0583921528282259,0.0454576065896822,323.0,個股 20 日強於大盤；短線相對強勢；nan,nan,4447010.45,90283380.35,23846581.0,536312179.0,5.940320100121284,,nan,80.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,融資連增但股價不漲,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,,,融資連增但股價不漲,D,未通過既有風控,融資連增但股價不漲；未通過既有風控,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,20.8,0.0
7,2026-06-05,3015,全漢,68.9,83.2,83.2,66.74,原始技術總分 83.2；基本面資料中性；PB 相對合理；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan,100.0,100.0,50.0,50.0,88.0,,,,,50.0,1075247.0,-12.74109372375226,6.355218022623235,-3.3667821862636824,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,基本面資料中性,基本面資料中性,60.0,33.94,1.09,3.19,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理；殖利率穩定,,56.0,0.37,,17.9448,0.874,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-755100.0,26000.0,0.0,-575866.0,0,1,,,三大法人籌碼中性,2826.0,511.0,53.0,46.0,,,,,False,,False,,,,電子零組件業,電子零組件業,twse,industry_relative,0.3725099601593626,0.358974358974359,0.0217018320957745,0.0710729257966095,0.0087110980309903,0.173507535970782,0.3637988621283723,0.1854668230035769,102.0,個股 20 日強於大盤；短線相對強勢；nan,nan,2614272.7,160271947.2,23541119.0,1586781856.0,9.9005589170255,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,,,融資連增但股價不漲,C,資料可信度偏低,融資連增但股價不漲,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：資料可信度偏低,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,True,True,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,63.69,0.1
8,2026-06-05,2883,凱基金,27.6,83.2,83.2,69.62,原始技術總分 83.2；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 相對合理；殖利率穩定；財報資料不足，採中性分數；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan；財報資料不足,100.0,100.0,80.0,50.0,88.0,,,,,80.0,13466790.0,144.30631310157813,147.27283210120368,319.6219559348892,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,60.0,15.51,1.38,3.62,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理；殖利率穩定,,50.0,,,,,,,MISSING,,財報資料不足，採中性分數,,50.0,無重大事件資料,NONE,,,False,50.0,-101851440.0,102341032.0,0.0,-313049.0,0,1,,,三大法人籌碼中性,23944.0,1651.0,2326.0,1574.0,,,,,False,,False,,,,金融保險,金融保險,twse,industry_relative,0.2266666666666668,0.2052401746724892,0.0217018320957745,0.0710729257966095,0.0769802189111067,0.0985175958389893,0.14968644775556,0.1067225788334998,179.0,個股 20 日強於大盤；短線相對強勢；nan,nan,111990292.95,2707983596.15,312820082.0,8669665898.0,3.201520832816659,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,,財報資料不足,融資連增但股價不漲,C,資料可信度偏低；部分資料不足,融資連增但股價不漲,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：財報資料不足；資料可信度偏低；資料不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,True,True,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,25.64,0.1
9,2026-06-05,2882,國泰金,100.0,83.08,83.08,69.57,原始技術總分 83.08；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 相對合理；殖利率穩定；財報資料不足，採中性分數；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan；財報資料不足,100.0,92.3,80.0,50.0,100.0,,,,,80.0,30515220.0,153.9148431130897,53.36107868122988,577.0666572623264,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,60.0,15.17,2.0,3.5,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理；殖利率穩定,,50.0,,,,,,,MISSING,,財報資料不足，採中性分數,,50.0,無重大事件資料,NONE,,,False,50.0,10810614.0,-278827.0,0.0,10630653.0,1,0,,,三大法人籌碼中性,4988.0,996.0,263.0,43.0,,,,,False,,False,,,,金融保險,金融保險,twse,industry_relative,0.1668611435239206,0.25,0.0217018320957745,0.0710729257966095,0.0769802189111067,0.0985175958389893,0.0898809246128138,0.1514824041610106,131.0,個股 20 日強於大盤；短線相對強勢；nan,nan,46809358.85,3935769760.95,69269147.0,6807675953.0,1.7296936473633535,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,,財報資料不足,融資連增但股價不漲,D,未通過既有風控,融資連增但股價不漲；未通過既有風控,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控；資料不足：財報資料不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,94.06,0.0
10,2026-06-05,3311,閎暉,39.75,82.76,82.76,67.02,原始技術總分 82.76；月營收 YoY 正成長；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan,99.0,95.24,58.0,50.0,95.0,,,,,58.0,199228.0,4.943558624758353,0.8534893845359468,-8.875594935756345,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長,月營收 YoY 正成長,55.0,25.65,1.07,1.51,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理,,56.0,0.5,,11.0553,-0.8383,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-1093776.0,0.0,0.0,-1094257.0,0,0,,,三大法人籌碼中性,4012.0,-78.0,17.0,3.0,,,,,False,,False,,,,通信網路業,通信網路業,manual,industry_relative,0.1103351955307263,0.2268518518518518,0.0217018320957745,0.0710729257966095,0.0122431470061811,0.0704808626741608,0.0980920485245452,0.156370989177691,124.0,個股 20 日強於大盤；短線相對強勢；nan,nan,1451033.8,54402360.7,6032216.0,246845278.0,4.537400120579694,,nan,80.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,,,,D,未通過既有風控,未通過既有風控,True,RISK_REVIEW,投資風險：未通過既有風控,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,False,0,投資組合總曝險超過上限,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,36.57,0.0
