trade_date,stock_id,stock_name,source_name,source_type,source_date,field_name,field_value,evidence_summary,fallback_used,confidence_impact
2026-06-08,1342,八貫,candidate,csv,2026-06-08,candidate_grade,B,candidate_grade=B,False,0.8
2026-06-08,1342,八貫,candidate,csv,2026-06-08,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-08,1342,八貫,candidate,csv,2026-06-08,pe_ratio,17.48,pe_ratio=17.48,False,0.8
2026-06-08,1342,八貫,candidate,csv,2026-06-08,pb_ratio,3.88,pb_ratio=3.88,False,0.8
2026-06-08,1342,八貫,candidate,csv,2026-06-08,dividend_yield,5.77,dividend_yield=5.77,False,0.8
2026-06-08,1342,八貫,candidate,csv,2026-06-08,margin_change_5d,306.0,margin_change_5d=306.0,False,0.8
2026-06-08,1342,八貫,candidate,csv,2026-06-08,price_return_5d,0.2068965517241379,price_return_5d=0.2068965517241379,False,0.8
2026-06-08,1342,八貫,candidate,csv,2026-06-08,liquidity_score,75.0,liquidity_score=75.0,False,0.8
2026-06-08,1342,八貫,candidate,csv,2026-06-08,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-08,1342,八貫,candidate,csv,2026-06-08,risk_flags,融資連增但股價不漲,risk_flags=融資連增但股價不漲,False,0.8
2026-06-08,2597,潤弘,candidate,csv,2026-06-08,candidate_grade,B,candidate_grade=B,False,0.8
2026-06-08,2597,潤弘,candidate,csv,2026-06-08,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-08,2597,潤弘,candidate,csv,2026-06-08,pe_ratio,16.24,pe_ratio=16.24,False,0.8
2026-06-08,2597,潤弘,candidate,csv,2026-06-08,pb_ratio,6.16,pb_ratio=6.16,False,0.8
2026-06-08,2597,潤弘,candidate,csv,2026-06-08,dividend_yield,5.24,dividend_yield=5.24,False,0.8
2026-06-08,2597,潤弘,candidate,csv,2026-06-08,margin_change_5d,-87.0,margin_change_5d=-87.0,False,0.8
2026-06-08,2597,潤弘,candidate,csv,2026-06-08,price_return_5d,0.1081081081081081,price_return_5d=0.1081081081081081,False,0.8
2026-06-08,2597,潤弘,candidate,csv,2026-06-08,liquidity_score,92.0,liquidity_score=92.0,False,0.8
2026-06-08,2597,潤弘,candidate,csv,2026-06-08,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-08,2597,潤弘,candidate,csv,2026-06-08,risk_flags,PB 偏高,risk_flags=PB 偏高,False,0.8
2026-06-08,3311,閎暉,candidate,csv,2026-06-08,candidate_grade,B,candidate_grade=B,False,0.8
2026-06-08,3311,閎暉,candidate,csv,2026-06-08,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-08,3311,閎暉,candidate,csv,2026-06-08,pe_ratio,25.65,pe_ratio=25.65,False,0.8
2026-06-08,3311,閎暉,candidate,csv,2026-06-08,pb_ratio,1.07,pb_ratio=1.07,False,0.8
2026-06-08,3311,閎暉,candidate,csv,2026-06-08,dividend_yield,1.51,dividend_yield=1.51,False,0.8
2026-06-08,3311,閎暉,candidate,csv,2026-06-08,margin_change_5d,68.0,margin_change_5d=68.0,False,0.8
2026-06-08,3311,閎暉,candidate,csv,2026-06-08,price_return_5d,0.1265646731571625,price_return_5d=0.1265646731571625,False,0.8
2026-06-08,3311,閎暉,candidate,csv,2026-06-08,liquidity_score,75.0,liquidity_score=75.0,False,0.8
2026-06-08,3311,閎暉,candidate,csv,2026-06-08,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-08,3311,閎暉,candidate,csv,2026-06-08,risk_flags,融資連增但股價不漲,risk_flags=融資連增但股價不漲,False,0.8
2026-06-08,6585,鼎基,candidate,csv,2026-06-08,candidate_grade,B,candidate_grade=B,False,0.8
2026-06-08,6585,鼎基,candidate,csv,2026-06-08,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-08,6585,鼎基,candidate,csv,2026-06-08,pe_ratio,22.86,pe_ratio=22.86,False,0.8
2026-06-08,6585,鼎基,candidate,csv,2026-06-08,pb_ratio,2.18,pb_ratio=2.18,False,0.8
2026-06-08,6585,鼎基,candidate,csv,2026-06-08,dividend_yield,4.02,dividend_yield=4.02,False,0.8
2026-06-08,6585,鼎基,candidate,csv,2026-06-08,margin_change_5d,-296.0,margin_change_5d=-296.0,False,0.8
2026-06-08,6585,鼎基,candidate,csv,2026-06-08,price_return_5d,0.2551020408163265,price_return_5d=0.2551020408163265,False,0.8
2026-06-08,6585,鼎基,candidate,csv,2026-06-08,liquidity_score,75.0,liquidity_score=75.0,False,0.8
2026-06-08,6585,鼎基,candidate,csv,2026-06-08,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-08,2025,千興,candidate,csv,2026-06-08,candidate_grade,D,candidate_grade=D,False,0.8
2026-06-08,2025,千興,candidate,csv,2026-06-08,decision,NO_TRADE,decision=NO_TRADE,False,0.8
2026-06-08,2025,千興,candidate,csv,2026-06-08,pe_ratio,83.75,pe_ratio=83.75,False,0.8
2026-06-08,2025,千興,candidate,csv,2026-06-08,pb_ratio,1.4,pb_ratio=1.4,False,0.8
2026-06-08,2025,千興,candidate,csv,2026-06-08,margin_change_5d,0.0,margin_change_5d=0.0,False,0.8
2026-06-08,2025,千興,candidate,csv,2026-06-08,price_return_5d,0.2352941176470586,price_return_5d=0.2352941176470586,False,0.8
2026-06-08,2025,千興,candidate,csv,2026-06-08,liquidity_score,50.0,liquidity_score=50.0,False,0.8
2026-06-08,2025,千興,candidate,csv,2026-06-08,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-08,2025,千興,candidate,csv,2026-06-08,risk_flags,流動性偏低；PE 偏高；未通過既有風控,risk_flags=流動性偏低；PE 偏高；未通過既有風控,False,0.8
2026-06-08,2483,百容,candidate,csv,2026-06-08,candidate_grade,D,candidate_grade=D,False,0.8
2026-06-08,2483,百容,candidate,csv,2026-06-08,decision,NO_TRADE,decision=NO_TRADE,False,0.8
2026-06-08,2483,百容,candidate,csv,2026-06-08,pe_ratio,33.1,pe_ratio=33.1,False,0.8
2026-06-08,2483,百容,candidate,csv,2026-06-08,pb_ratio,1.27,pb_ratio=1.27,False,0.8
2026-06-08,2483,百容,candidate,csv,2026-06-08,dividend_yield,0.99,dividend_yield=0.99,False,0.8
2026-06-08,2483,百容,candidate,csv,2026-06-08,margin_change_5d,1.0,margin_change_5d=1.0,False,0.8
2026-06-08,2483,百容,candidate,csv,2026-06-08,price_return_5d,0.3117647058823529,price_return_5d=0.3117647058823529,False,0.8
2026-06-08,2483,百容,candidate,csv,2026-06-08,liquidity_score,75.0,liquidity_score=75.0,False,0.8
2026-06-08,2483,百容,candidate,csv,2026-06-08,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-08,2483,百容,candidate,csv,2026-06-08,event_risk_level,MEDIUM,event_risk_level=MEDIUM,False,0.8
2026-06-08,2483,百容,candidate,csv,2026-06-08,risk_flags,融資連增但股價不漲；未通過既有風控,risk_flags=融資連增但股價不漲；未通過既有風控,False,0.8
2026-06-08,6890,來億-KY,candidate,csv,2026-06-08,candidate_grade,D,candidate_grade=D,False,0.8
2026-06-08,6890,來億-KY,candidate,csv,2026-06-08,decision,NO_TRADE,decision=NO_TRADE,False,0.8
2026-06-08,6890,來億-KY,candidate,csv,2026-06-08,pe_ratio,23.99,pe_ratio=23.99,False,0.8
2026-06-08,6890,來億-KY,candidate,csv,2026-06-08,pb_ratio,2.45,pb_ratio=2.45,False,0.8
2026-06-08,6890,來億-KY,candidate,csv,2026-06-08,dividend_yield,3.71,dividend_yield=3.71,False,0.8
2026-06-08,6890,來億-KY,candidate,csv,2026-06-08,margin_change_5d,198.0,margin_change_5d=198.0,False,0.8
2026-06-08,6890,來億-KY,candidate,csv,2026-06-08,price_return_5d,0.4297994269340974,price_return_5d=0.4297994269340974,False,0.8
