source_name,provider_maturity,status,rows,warning,error_message,fallback_action,requested_period,actual_period,latest_available_period,source_url_or_name,is_real_data,is_mock,is_stale,data_age_days,coverage_ratio,affected_symbols_count
monthly_revenue,best_effort,OK_WITH_FALLBACK,1078,requested month 202606 unavailable; used latest available month 202604,,wrote_new_data,202606,202604,202604,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,True,False,False,67.0,1.0,1078.0
valuation,best_effort,OK,1078,,,wrote_new_data,,2026-06-05,2026-06-05,https://openapi.twse.com.tw/v1/exchangeReport/BWIBBU_ALL,True,False,False,2.0,1.0,1078.0
financials,best_effort,OK,1043,,,wrote_new_data,,115Q1,115Q1,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_ci,True,False,False,,1.0,1043.0
material_events,best_effort,OK,2,,,wrote_new_data,,,,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,True,False,False,,1.0,2.0
institutional,best_effort,OK_WITH_FALLBACK,1320,"official source returned no data; provider empty, kept existing csv; 官方來源本次無法提供新資料，保留既有 CSV，rows 為既有資料筆數。",,kept_existing_csv,,,,,False,False,False,,,
margin_short,best_effort,OK_WITH_FALLBACK,1273,"official source returned no data; provider empty, kept existing csv; 官方來源本次無法提供新資料，保留既有 CSV，rows 為既有資料筆數。",,kept_existing_csv,,,,,False,False,False,,,
attention_disposition,best_effort,OK,44,,,wrote_new_data,,,,,False,False,False,,,
sector_strength,local_derived,OK_WITH_FALLBACK,1433,99 檔缺少產業分類，使用全市場相對強弱；排除 957 筆跨日價格跳動異常資料,,used_local_fallback,20260607,2026-06-05,2026-06-05,SQLite local OHLCV data,True,False,False,2.0,1.0,1433.0
liquidity,local_derived,OK,1433,部分股票流動性偏低或價量資料不足；排除 957 筆跨日價格跳動異常資料,,wrote_new_data,20260607,2026-06-05,2026-06-05,SQLite local OHLCV data,True,False,False,2.0,1.0,1433.0
