rank,trade_date,stock_id,stock_name,close,total_score,original_total_score,multi_factor_score,multi_factor_reason,trend_score,momentum_score,fundamental_score,chip_score,risk_score,credit_score,event_risk_score,liquidity_score,sector_strength_score,revenue_score,monthly_revenue,revenue_yoy,revenue_mom,accumulated_revenue_yoy,revenue_data_month,requested_revenue_month,latest_available_month,revenue_source_status,revenue_3m_trend,revenue_12m_high,revenue_warning,revenue_reason,fundamental_reason,valuation_score,pe_ratio,pb_ratio,dividend_yield,valuation_source,valuation_source_status,valuation_reason,valuation_warning,financial_score,eps,roe,gross_margin,operating_margin,debt_ratio,financial_source,financial_source_status,financial_period,financial_reason,financial_warning,event_score,event_reason,event_risk_level,event_keywords,event_warning,event_blocked,institutional_score,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,total_institutional_net_buy,foreign_buy_days,investment_trust_buy_days,institutional_buy_ratio,institutional_warning,institutional_reason,margin_balance,margin_change,short_balance,short_change,securities_lending_sell_volume,securities_lending_balance,margin_usage_warning,short_selling_warning,is_attention_stock,attention_reason,is_disposition_stock,disposition_start_date,disposition_end_date,disposition_reason,industry,sub_industry,industry_source,sector_strength_mode,stock_return_5d,stock_return_20d,market_return_5d,market_return_20d,sector_return_5d,sector_return_20d,relative_strength_5d,relative_strength_20d,sector_strength_rank,sector_strength_reason,sector_strength_warning,avg_volume_20d,avg_turnover_20d,latest_volume,latest_turnover,turnover_ratio_20d,intraday_trading_ratio,liquidity_warning,slippage_risk_score,market_type,tracking_index,fund_size,expense_ratio,discount_premium,top_holdings_available,etf_data_quality_flags,positive_signals,warning_signals,blocking_risks,momentum_signal,risk_flags,data_quality_flags,investment_risk_flags,candidate_grade,grade_reason,grade_risk_flags,requires_manual_review,review_level,review_reason,data_source_warning,system_comment,market_intel_status,requested_date,actual_data_date,fallback_date,fallback_reason,cache_age_days,is_stale_data,data_freshness_level,market_intel_source,market_intel_warning,market_close,market_volume,volume_change_ratio,market_pe_ratio,market_pb_ratio,market_dividend_yield,market_revenue_growth_yoy,market_eps_growth_yoy,latest_news_titles,matched_news_keywords,news_sentiment_score,market_fundamental_score,market_valuation_score,market_momentum_score,market_chip_score,final_market_score,confidence_score,market_risk_score,final_comment,is_candidate,risk_pass,risk_reason,reason,stop_loss_price,suggested_position_pct
1,2026-06-03,00962,台新AI優息動能,16.38,84.46,84.46,64.27,原始技術總分 84.46；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan；ETF_METADATA_MISSING,100.0,97.84,50.0,50.0,100.0,50.0,50.0,60.0,68.0,50.0,,,,,,,,MISSING,neutral,False,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,,MISSING,估值資料不足，採中性分數,,50.0,,,,,,,MISSING,,財報資料不足，採中性分數,,50.0,無重大事件資料,NONE,,,False,50.0,697000.0,0.0,0.0,1386691.0,1,0,,,三大法人籌碼中性,316.0,-35.0,1.0,1.0,,,,,False,,False,,,,ETF,AI 優息動能 ETF,manual_verified,industry_relative,0.1319972356599861,0.2061855670103092,0.0531626256858813,0.0963907232467164,0.0421251187257479,0.1896853180903325,0.0898721169342381,0.0165002489199766,423.0,個股 20 日強於大盤；短線相對強勢；nan,nan,1801291.65,27463177.0,6148093.0,99924452.0,3.638488438537173,,nan,65.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強,,,20 日相對強勢；5 日相對強勢；動能分數偏強,,ETF_METADATA_MISSING；ETF metadata 資料不足,,C,資料可信度偏低；部分資料不足,,True,DATA_REVIEW,資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足；資料可信度偏低；資料不足,,資料不足，需人工補查後再判斷；非交易日，使用最近交易日資料。,WARNING,2026-06-03,2026-06-03,2026-06-03,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數,16.38,,,,,,,,無重大事件資料 原始技術總分 84.46；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan；ETF_METADATA_MISSING 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,50.0,50.0,97.84,50.0,60.97,50.0,39.03,資料不足，需人工補查後再判斷,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,15.54,0.1
2,2026-06-03,00961,FT臺灣永續高息,13.47,84.01,84.01,64.68,原始技術總分 84.01；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱；ETF_METADATA_MISSING,100.0,96.03,50.0,50.0,100.0,40.0,50.0,75.0,78.0,50.0,,,,,,,,MISSING,neutral,False,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,,MISSING,估值資料不足，採中性分數,,50.0,,,,,,,MISSING,,財報資料不足，採中性分數,,50.0,無重大事件資料,NONE,,,False,50.0,-1603000.0,0.0,0.0,-9786296.0,0,0,,,三大法人籌碼中性,1283.0,258.0,0.0,0.0,,,,,False,,False,,,,全市場,nan,nan,market_relative_fallback,0.1169154228855722,0.2212148685403445,0.0531626256858813,0.0963907232467164,0.0531626256858813,0.0963907232467164,0.0637527971996908,0.1248241452936281,138.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,7036085.15,83601547.6,17480986.0,234819717.0,2.80879629314422,,nan,80.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,融資連增但股價不漲,ETF_METADATA_MISSING；ETF metadata 資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,C,資料可信度偏低；部分資料不足,融資連增但股價不漲,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,WARNING,2026-06-03,2026-06-03,2026-06-03,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數,13.47,,,,,,,,無重大事件資料 原始技術總分 84.01；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱；ETF_METADATA_MISSING 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,50.0,50.0,96.03,50.0,61.86,50.0,38.14,有投資風險標籤，需降低優先度,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,12.85,0.1
3,2026-06-03,00918,大華優利高填息30,31.73,83.83,83.83,65.08,原始技術總分 83.83；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan；ETF_METADATA_MISSING,100.0,95.32,50.0,50.0,100.0,40.0,50.0,92.0,78.0,50.0,,,,,,,,MISSING,neutral,False,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,,MISSING,估值資料不足，採中性分數,,50.0,,,,,,,MISSING,,財報資料不足，採中性分數,,50.0,無重大事件資料,NONE,,,False,50.0,-25304347.0,0.0,0.0,-53061484.0,0,0,,,三大法人籌碼中性,8527.0,660.0,34.0,-138.0,,,,,False,,False,,,,ETF,高股息 ETF,manual_verified,industry_relative,0.1109943977591036,0.2641434262948205,0.0531626256858813,0.0963907232467164,0.0421251187257479,0.1896853180903325,0.0688692790333557,0.074458108204488,204.0,個股 20 日強於大盤；短線相對強勢；nan,nan,42253223.15,1192045106.8,96386079.0,3043971378.0,2.553570633053833,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,融資連增但股價不漲,ETF_METADATA_MISSING；ETF metadata 資料不足,融資連增但股價不漲,C,資料可信度偏低；部分資料不足,融資連增但股價不漲,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足；資料可信度偏低；資料不足,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,WARNING,2026-06-03,2026-06-03,2026-06-03,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數,31.73,,,,,,,,無重大事件資料 原始技術總分 83.83；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan；ETF_METADATA_MISSING 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,50.0,50.0,95.32,50.0,62.56,50.0,37.44,有投資風險標籤，需降低優先度,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,30.31,0.1
4,2026-06-03,00916,國泰全球品牌50,31.2,83.52,83.52,63.32,原始技術總分 83.52；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱；ETF_METADATA_MISSING,100.0,94.09,50.0,50.0,100.0,40.0,50.0,60.0,68.0,50.0,,,,,,,,MISSING,neutral,False,,基本面資料不足，採中性分數,基本面資料不足，採中性分數,50.0,,,,,MISSING,估值資料不足，採中性分數,,50.0,,,,,,,MISSING,,財報資料不足，採中性分數,,50.0,無重大事件資料,NONE,,,False,50.0,-1074000.0,0.0,0.0,-2559780.0,0,0,,,三大法人籌碼中性,379.0,190.0,159.0,39.0,,,,,False,,False,,,,全市場,nan,nan,market_relative_fallback,0.1158798283261801,0.1287988422575976,0.0531626256858813,0.0963907232467164,0.0531626256858813,0.0963907232467164,0.0627172026402987,0.0324081190108812,349.0,個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱,缺少產業分類，使用全市場相對強弱,1647389.6,49641532.9,13016472.0,401995794.0,8.09797301807334,,nan,65.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,融資連增但股價不漲,ETF_METADATA_MISSING；ETF metadata 資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱,融資連增但股價不漲,C,資料可信度偏低；部分資料不足,融資連增但股價不漲,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：ETF_METADATA_MISSING；ETF metadata 資料不足；產業分類資料不足；缺少產業分類，使用全市場相對強弱；資料可信度偏低；資料不足,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,WARNING,2026-06-03,2026-06-03,2026-06-03,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數,31.2,,,,,,,,無重大事件資料 原始技術總分 83.52；ETF 不適用一般 EPS / ROE 公司財報檢查；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；缺少產業分類，使用全市場相對強弱；ETF_METADATA_MISSING 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,50.0,50.0,94.09,50.0,60.22,50.0,39.78,有投資風險標籤，需降低優先度,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,30.32,0.1
5,2026-06-03,6890,來億-KY,210.5,83.2,83.2,67.34,原始技術總分 83.2；基本面資料中性；PB 相對合理；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan,100.0,100.0,50.0,50.0,88.0,50.0,50.0,92.0,78.0,50.0,4211254.0,-9.227871290255203,51.50810003176765,-21.1786726002074,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,基本面資料中性,基本面資料中性,60.0,18.94,1.93,4.7,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理；殖利率穩定,,56.0,0.75,,11.6514,2.549,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-569761.0,1014000.0,0.0,542147.0,0,1,,,三大法人籌碼中性,1999.0,-191.0,20.0,17.0,,,,,False,,False,,,,運動休閒,運動休閒,twse,industry_relative,0.2346041055718475,0.3668831168831168,0.0531626256858813,0.0963907232467164,0.0718920919359012,0.0577979613038297,0.1627120136359462,0.309085155579287,38.0,個股 20 日強於大盤；短線相對強勢；nan,nan,834840.7,150851718.55,4246125.0,875247739.0,5.802040224751552,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,,,20 日相對強勢；5 日相對強勢；動能分數偏強,,,,C,資料可信度偏低,,True,DATA_REVIEW,資料不足：資料可信度偏低,,資料中性，仍以原本技術面與風控結果為準；非交易日，使用最近交易日資料。,WARNING,2026-06-03,2026-06-03,2026-06-03,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理,210.5,,,18.94,1.93,4.7,-9.227871290255203,,無重大事件資料 原始技術總分 83.2；基本面資料中性；PB 相對合理；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,38.0,73.0,100.0,50.0,66.0,90.0,34.0,資料中性，仍以原本技術面與風控結果為準,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,194.64,0.1
6,2026-06-03,1714,和桐,11.0,82.72,82.72,68.44,原始技術總分 82.72；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資明顯增加；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan,100.0,98.08,80.0,50.0,88.0,32.0,50.0,75.0,78.0,80.0,3183676.0,71.71403036691967,13.71977225155202,47.62349772985901,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,55.0,15.63,0.77,1.8,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理,,56.0,0.23,,11.2376,6.8662,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,4148695.0,0.0,0.0,4727928.0,1,0,,,三大法人籌碼中性,14604.0,8506.0,12.0,10.0,,,融資明顯增加,,False,,False,,,,化學工業,化學工業,twse,industry_relative,0.1739594450373534,0.1282051282051282,0.0531626256858813,0.0963907232467164,0.0453323232187641,0.0682682530767464,0.1286271218185892,0.0599368751283817,244.0,個股 20 日強於大盤；短線相對強勢；nan,nan,7666448.85,77827130.1,48728192.0,524980150.0,6.7454645870335135,,nan,80.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,融資連增但股價不漲,,融資連增但股價不漲,C,資料可信度偏低,融資連增但股價不漲,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：資料可信度偏低,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,WARNING,2026-06-03,2026-06-03,2026-06-03,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理,11.0,,,15.63,0.77,1.8,71.71403036691967,,無重大事件資料 原始技術總分 82.72；月營收年增率大於 20%；累計營收 YoY 大於 10%；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資明顯增加；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,68.0,98.08,50.0,67.87,90.0,32.13,有投資風險標籤，需降低優先度,1,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,10.2,0.1
