trade_date,total_equity,unrealized_pnl,realized_pnl_after_cost,total_equity_after_cost,today_total_pnl,total_return_pct,data_quality_note
2026-05-28,1006361.2,12884.74,6074.05,1006361.2,18958.79,0.006361199999999953,
2026-05-29,1029988.57,24384.02,2.91,1029988.57,24386.93,0.029988569999999947,
2026-05-29,1029988.57,24384.02,2.91,1029988.57,24386.93,0.029988569999999947,
2026-05-29,1029988.57,24384.02,2.91,1029988.57,24386.93,0.029988569999999947,
2026-06-01,1047483.86,41855.16,22.9,1047483.86,41878.060000000005,0.04748385999999999,
2026-06-02,1032264.7,29374.39,-2746.09,1032264.7,26628.3,0.03226469999999995,
2026-06-03,1032904.8,30014.49,0.0,1032904.8,30014.49,0.032904800000000047,
2026-06-04,1027897.96,31664.44,-6694.59,1027897.96,24969.85,0.02789795999999996,
2026-06-05,1023794.41,31823.15,-4284.93,1023794.41,27538.22,0.023794410000000033,
2026-06-05,1023794.41,31823.15,-4284.93,1023794.41,27538.22,0.023794410000000033,
2026-06-05,1023794.41,31823.15,-4284.93,1023794.41,27538.22,0.023794410000000033,
2026-06-08,1011718.8,23799.18,-4088.12,1011718.8,19711.06,0.011718800000000047,
2026-06-09,1022564.5,34644.88,0.0,1022564.5,34644.88,0.0225645,
2026-06-10,1021474.95,33555.33,0.0,1021474.95,33555.33,0.021474949999999954,
2026-06-11,1018704.85,26905.25,3860.04,1018704.85,30765.29,0.018704849999999978,
2026-06-12,1016666.75,24867.15,0.0,1016666.75,24867.15,0.01666675,
2026-06-12,1016666.75,24867.15,0.0,1016666.75,24867.15,0.01666675,
2026-06-15,1020424.55,28624.95,0.0,1020424.55,28624.95,0.020424550000000048,
2026-06-16,1026853.65,35054.05,0.0,1026853.65,35054.05,0.026853650000000024,
2026-06-17,1033140.35,41340.75,0.0,1033140.35,41340.75,0.03314034999999998,
