trade_date,stock_id,stock_name,source_name,source_type,source_date,field_name,field_value,evidence_summary,fallback_used,confidence_impact
2026-06-02,00961,FT臺灣永續高息,candidate,csv,2026-06-02,candidate_grade,C,candidate_grade=C,False,0.8
2026-06-02,00961,FT臺灣永續高息,candidate,csv,2026-06-02,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-02,00961,FT臺灣永續高息,candidate,csv,2026-06-02,margin_change_5d,542.0,margin_change_5d=542.0,False,0.8
2026-06-02,00961,FT臺灣永續高息,candidate,csv,2026-06-02,price_return_5d,0.129222972972973,price_return_5d=0.129222972972973,False,0.8
2026-06-02,00961,FT臺灣永續高息,candidate,csv,2026-06-02,liquidity_score,75.0,liquidity_score=75.0,False,0.8
2026-06-02,00961,FT臺灣永續高息,candidate,csv,2026-06-02,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-02,00961,FT臺灣永續高息,candidate,csv,2026-06-02,risk_flags,融資連增但股價不漲,risk_flags=融資連增但股價不漲,False,0.8
2026-06-02,00961,FT臺灣永續高息,candidate,csv,2026-06-02,sector_strength_warning,缺少產業分類，使用全市場相對強弱,sector_strength_warning=缺少產業分類，使用全市場相對強弱,False,0.8
2026-06-02,00918,大華優利高填息30,candidate,csv,2026-06-02,candidate_grade,C,candidate_grade=C,False,0.8
2026-06-02,00918,大華優利高填息30,candidate,csv,2026-06-02,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-02,00918,大華優利高填息30,candidate,csv,2026-06-02,margin_change_5d,2004.0,margin_change_5d=2004.0,False,0.8
2026-06-02,00918,大華優利高填息30,candidate,csv,2026-06-02,price_return_5d,0.1278276481149012,price_return_5d=0.1278276481149012,False,0.8
2026-06-02,00918,大華優利高填息30,candidate,csv,2026-06-02,liquidity_score,92.0,liquidity_score=92.0,False,0.8
2026-06-02,00918,大華優利高填息30,candidate,csv,2026-06-02,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-02,00918,大華優利高填息30,candidate,csv,2026-06-02,risk_flags,融資連增但股價不漲；融資暴增但法人賣超,risk_flags=融資連增但股價不漲；融資暴增但法人賣超,False,0.8
2026-06-02,00962,台新AI優息動能,candidate,csv,2026-06-02,candidate_grade,C,candidate_grade=C,False,0.8
2026-06-02,00962,台新AI優息動能,candidate,csv,2026-06-02,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-02,00962,台新AI優息動能,candidate,csv,2026-06-02,margin_change_5d,-87.0,margin_change_5d=-87.0,False,0.8
2026-06-02,00962,台新AI優息動能,candidate,csv,2026-06-02,price_return_5d,0.1151178918169208,price_return_5d=0.1151178918169208,False,0.8
2026-06-02,00962,台新AI優息動能,candidate,csv,2026-06-02,liquidity_score,60.0,liquidity_score=60.0,False,0.8
2026-06-02,00962,台新AI優息動能,candidate,csv,2026-06-02,sector_strength_score,68.0,sector_strength_score=68.0,False,0.8
2026-06-02,4935,茂林-KY,candidate,csv,2026-06-02,candidate_grade,B,candidate_grade=B,False,0.8
2026-06-02,4935,茂林-KY,candidate,csv,2026-06-02,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-02,4935,茂林-KY,candidate,csv,2026-06-02,pe_ratio,30.4,pe_ratio=30.4,False,0.8
2026-06-02,4935,茂林-KY,candidate,csv,2026-06-02,pb_ratio,0.66,pb_ratio=0.66,False,0.8
2026-06-02,4935,茂林-KY,candidate,csv,2026-06-02,dividend_yield,2.4,dividend_yield=2.4,False,0.8
2026-06-02,4935,茂林-KY,candidate,csv,2026-06-02,margin_change_5d,35.0,margin_change_5d=35.0,False,0.8
2026-06-02,4935,茂林-KY,candidate,csv,2026-06-02,price_return_5d,0.1586867305061561,price_return_5d=0.1586867305061561,False,0.8
2026-06-02,4935,茂林-KY,candidate,csv,2026-06-02,liquidity_score,50.0,liquidity_score=50.0,False,0.8
2026-06-02,4935,茂林-KY,candidate,csv,2026-06-02,sector_strength_score,50.0,sector_strength_score=50.0,False,0.8
2026-06-02,4935,茂林-KY,candidate,csv,2026-06-02,risk_flags,融資連增但股價不漲；流動性偏低；月營收 YoY 明顯衰退,risk_flags=融資連增但股價不漲；流動性偏低；月營收 YoY 明顯衰退,False,0.8
