rank,trade_date,stock_id,stock_name,close,total_score,original_total_score,multi_factor_score,multi_factor_reason,trend_score,momentum_score,fundamental_score,chip_score,risk_score,credit_score,event_risk_score,liquidity_score,sector_strength_score,revenue_score,monthly_revenue,revenue_yoy,revenue_mom,accumulated_revenue_yoy,revenue_data_month,requested_revenue_month,latest_available_month,revenue_source_status,revenue_3m_trend,revenue_12m_high,revenue_warning,revenue_reason,fundamental_reason,valuation_score,pe_ratio,pb_ratio,dividend_yield,valuation_source,valuation_source_status,valuation_reason,valuation_warning,financial_score,eps,roe,gross_margin,operating_margin,debt_ratio,financial_source,financial_source_status,financial_period,financial_reason,financial_warning,event_score,event_reason,event_risk_level,event_keywords,event_warning,event_blocked,institutional_score,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,total_institutional_net_buy,foreign_buy_days,investment_trust_buy_days,institutional_buy_ratio,institutional_warning,institutional_reason,margin_balance,margin_change,short_balance,short_change,securities_lending_sell_volume,securities_lending_balance,margin_usage_warning,short_selling_warning,is_attention_stock,attention_reason,is_disposition_stock,disposition_start_date,disposition_end_date,disposition_reason,industry,sub_industry,industry_source,sector_strength_mode,stock_return_5d,stock_return_20d,market_return_5d,market_return_20d,sector_return_5d,sector_return_20d,relative_strength_5d,relative_strength_20d,sector_strength_rank,sector_strength_reason,sector_strength_warning,avg_volume_20d,avg_turnover_20d,latest_volume,latest_turnover,turnover_ratio_20d,intraday_trading_ratio,liquidity_warning,slippage_risk_score,market_type,tracking_index,fund_size,expense_ratio,discount_premium,top_holdings_available,etf_data_quality_flags,positive_signals,warning_signals,blocking_risks,momentum_signal,risk_flags,data_quality_flags,investment_risk_flags,candidate_grade,grade_reason,grade_risk_flags,requires_manual_review,review_level,review_reason,data_source_warning,system_comment,market_intel_status,requested_date,actual_data_date,fallback_date,fallback_reason,cache_age_days,is_stale_data,data_freshness_level,market_intel_source,market_intel_warning,market_close,market_volume,volume_change_ratio,market_pe_ratio,market_pb_ratio,market_dividend_yield,market_revenue_growth_yoy,market_eps_growth_yoy,latest_news_titles,matched_news_keywords,news_sentiment_score,market_fundamental_score,market_valuation_score,market_momentum_score,market_chip_score,final_market_score,confidence_score,market_risk_score,final_comment,is_candidate,technical_risk_pass,tradable_pass,risk_pass,risk_reason,reason,stop_loss_price,suggested_position_pct
1,2026-06-08,1342,八貫,112.0,85.0,85.0,69.91,原始技術總分 85.0；月營收年增率大於 20%；累計營收 YoY 大於 10%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；個股強但產業偏弱，降低信心；nan,100.0,100.0,80.0,50.0,100.0,40.0,50.0,75.0,78.0,80.0,349263.0,44.520029296026415,-5.815364535579837,24.10301784998643,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%；累計營收 YoY 大於 10%,月營收年增率大於 20%；累計營收 YoY 大於 10%,55.0,17.48,3.88,5.77,TWSE OpenAPI BWIBBU_ALL,OK,殖利率穩定,,56.0,2.08,,27.2031,20.3582,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-478280.0,0.0,0.0,-471928.0,0,0,,,三大法人籌碼中性,932.0,306.0,9.0,9.0,,,,,False,,False,,,,其他,其他,twse,industry_relative,0.2068965517241379,0.1727748691099475,-0.0244135200259478,0.0278602227153292,0.0104434401074336,-0.0063365494415256,0.1964531116167042,0.1791114185514732,104.0,個股 20 日強於大盤；短線相對強勢；個股強但產業偏弱，降低信心；nan,nan,680887.85,69467994.3,5868615.0,642059263.0,9.242519083352894,,nan,80.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,融資連增但股價不漲,,融資連增但股價不漲,C,資料可信度偏低,融資連增但股價不漲,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：資料可信度偏低,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,WARNING,2026-06-08,2026-06-08,2026-06-08,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理,112.0,,,17.48,3.88,5.77,44.520029296026415,,無重大事件資料 原始技術總分 85.0；月營收年增率大於 20%；累計營收 YoY 大於 10%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；個股強但產業偏弱，降低信心；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,67.0,100.0,50.0,68.15,90.0,31.85,有投資風險標籤，需降低優先度,1,True,True,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,105.57,0.1
2,2026-06-08,2597,潤弘,184.5,83.74,83.74,68.44,原始技術總分 83.74；月營收 YoY 正成長；累計營收 YoY 大於 10%；PB 過高扣分；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；個股強但產業偏弱，降低信心；nan,100.0,94.97,70.0,50.0,100.0,50.0,50.0,92.0,78.0,70.0,2729069.0,16.52544344944166,18.228676812385928,18.21667549612032,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長；累計營收 YoY 大於 10%,月營收 YoY 正成長；累計營收 YoY 大於 10%,45.0,16.24,6.16,5.24,TWSE OpenAPI BWIBBU_ALL,OK,PB 過高扣分；殖利率穩定,PB 偏高,56.0,2.38,,17.7039,13.491,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,-810894.0,1710000.0,0.0,898106.0,0,1,,,三大法人籌碼中性,223.0,-87.0,55.0,-76.0,,,,,False,,False,,,,建材營造,建材營造,twse,industry_relative,0.1081081081081081,0.1531249999999999,-0.0244135200259478,0.0278602227153292,0.010932241444545,-0.0124091672862666,0.097175866663563,0.1655341672862666,110.0,個股 20 日強於大盤；短線相對強勢；個股強但產業偏弱，降低信心；nan,nan,1484431.6,257773273.8,4267259.0,791491111.0,3.070493303406228,,nan,90.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,PB 偏高,,20 日相對強勢；5 日相對強勢；動能分數偏強,PB 偏高；PB 過高,,PB 偏高,C,資料可信度偏低,PB 偏高,True,RISK_REVIEW,投資風險：PB 偏高；資料不足：資料可信度偏低,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,WARNING,2026-06-08,2026-06-08,2026-06-08,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理,184.5,,,16.24,6.16,5.24,16.52544344944166,,無重大事件資料 原始技術總分 83.74；月營收 YoY 正成長；累計營收 YoY 大於 10%；PB 過高扣分；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；個股強但產業偏弱，降低信心；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,55.0,94.97,50.0,66.79,90.0,33.21,有投資風險標籤，需降低優先度,1,True,True,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,171.43,0.1
3,2026-06-08,3311,閎暉,40.5,83.25,83.25,66.6,原始技術總分 83.25；月營收 YoY 正成長；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan,99.0,97.19,58.0,50.0,95.0,40.0,50.0,75.0,78.0,58.0,199228.0,4.943558624758353,0.8534893845359468,-8.875594935756345,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收 YoY 正成長,月營收 YoY 正成長,55.0,25.65,1.07,1.51,TWSE OpenAPI BWIBBU_ALL,OK,PB 相對合理,,56.0,0.5,,11.0553,-0.8383,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,355082.0,0.0,0.0,358082.0,1,0,,,三大法人籌碼中性,4080.0,68.0,20.0,3.0,,,,,False,,False,,,,通信網路業,通信網路業,manual,industry_relative,0.1265646731571625,0.2347560975609757,-0.0244135200259478,0.0278602227153292,-0.0534331830785594,0.0106792889717584,0.179997856235722,0.2240768085892172,75.0,個股 20 日強於大盤；短線相對強勢；nan,nan,1671040.45,63684834.75,4596786.0,186182236.0,2.9234940583715656,,nan,80.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,融資連增但股價不漲,,融資連增但股價不漲,C,資料可信度偏低,融資連增但股價不漲,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：資料可信度偏低,,有投資風險標籤，需降低優先度；非交易日，使用最近交易日資料。,WARNING,2026-06-08,2026-06-08,2026-06-08,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理,40.5,,,25.65,1.07,1.51,4.943558624758353,,無重大事件資料 原始技術總分 83.25；月營收 YoY 正成長；PB 相對合理；EPS 為正；無重大事件資料；三大法人籌碼中性；融資連增但股價不漲；個股 20 日強於大盤；短線相對強勢；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,56.0,97.19,50.0,66.49,90.0,33.51,有投資風險標籤，需降低優先度,1,True,True,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,37.26,0.1
4,2026-06-08,6585,鼎基,123.0,83.2,83.2,68.39,原始技術總分 83.2；月營收年增率大於 20%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；個股強但產業偏弱，降低信心；nan,100.0,100.0,68.0,50.0,88.0,50.0,50.0,75.0,78.0,68.0,324912.0,27.45845690345055,24.64830067942132,-5.138797106767075,202604,202606,202604,OK_WITH_FALLBACK,neutral,False,,月營收年增率大於 20%,月營收年增率大於 20%,55.0,22.86,2.18,4.02,TWSE OpenAPI BWIBBU_ALL,OK,殖利率穩定,,56.0,1.86,,34.6832,20.4606,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1,EPS 為正,,50.0,無重大事件資料,NONE,,,False,50.0,122582.0,0.0,0.0,139100.0,1,0,,,三大法人籌碼中性,2220.0,-296.0,25.0,24.0,,,,,False,,False,,,,其他,其他,twse,industry_relative,0.2551020408163265,0.3141025641025641,-0.0244135200259478,0.0278602227153292,0.0104434401074336,-0.0063365494415256,0.2446586007088928,0.3204391135440897,44.0,個股 20 日強於大盤；短線相對強勢；個股強但產業偏弱，降低信心；nan,nan,479808.5,52015453.4,3575246.0,425200727.0,8.174507751190726,,nan,80.0,,,,,,,,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,,,20 日相對強勢；5 日相對強勢；動能分數偏強,,,,C,資料可信度偏低,,True,DATA_REVIEW,資料不足：資料可信度偏低,,資料中性，仍以原本技術面與風控結果為準；非交易日，使用最近交易日資料。,WARNING,2026-06-08,2026-06-08,2026-06-08,no trading data,0,False,CURRENT,mixed,市場事件資料不足，採中性處理,123.0,,,22.86,2.18,4.02,27.45845690345055,,無重大事件資料 原始技術總分 83.2；月營收年增率大於 20%；殖利率穩定；EPS 為正；無重大事件資料；三大法人籌碼中性；信用交易結構中性；個股 20 日強於大盤；短線相對強勢；個股強但產業偏弱，降低信心；nan 收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,,0.0,62.0,55.0,100.0,50.0,66.95,90.0,33.05,資料中性，仍以原本技術面與風控結果為準,1,True,True,1,通過資料品質、停損、部位、流動性與波動檢查,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,113.53,0.1
