signal_date,planned_entry_date,actual_entry_date,stock_id,stock_name,signal_close,total_score,stop_loss_price,suggested_position_pct,status,entry_price,entry_price_source,shares,position_value,skipped_reason,warning,reason,risk_reason,multi_factor_score,multi_factor_reason,final_market_score,confidence_score,risk_flags,system_comment,institutional_score,credit_score,event_risk_score,liquidity_score,sector_strength_score,event_risk_level,event_reason,event_blocked
2026-05-13,NEXT_AVAILABLE_TRADING_DAY,,1256,鮮活果汁-KY,191.0,85.0,178.29,0.1,SKIPPED_EXISTING_POSITION,,,,,已有未平倉持倉，略過重複進場,,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查,67.5,原始技術/動能分數 85.0；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,,,,,,,,,,NONE,近期無重大事件風險,False
2026-05-13,NEXT_AVAILABLE_TRADING_DAY,2026-05-14,8926,台汽電,56.7,85.0,52.98,0.1,EXECUTED,59.7597,OPEN,1469.0,87787.0,,尚無下一個有效交易日資料，等待下次執行,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查,67.5,原始技術/動能分數 85.0；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,,,,,,,,,,NONE,近期無重大事件風險,False
2026-05-13,NEXT_AVAILABLE_TRADING_DAY,,6579,研揚,150.5,84.07,138.57,0.1,SKIPPED_EXISTING_POSITION,,,,,建議部位不足以建立整股持倉,尚無下一個有效交易日資料，等待下次執行,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查,67.03,原始技術/動能分數 84.07；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,,,,,,,,,,NONE,近期無重大事件風險,False
2026-05-13,NEXT_AVAILABLE_TRADING_DAY,,6924,榮惠-KY創,123.5,83.2,114.0,0.1,SKIPPED_EXISTING_POSITION,,,,,建議部位不足以建立整股持倉,尚無下一個有效交易日資料，等待下次執行,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查,66.6,原始技術/動能分數 83.2；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,,,,,,,,,,NONE,近期無重大事件風險,False
2026-05-13,NEXT_AVAILABLE_TRADING_DAY,,5215,科嘉-KY,46.3,83.2,43.63,0.1,SKIPPED_EXISTING_POSITION,,,,,建議部位不足以建立整股持倉,尚無下一個有效交易日資料，等待下次執行,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查,66.6,原始技術/動能分數 83.2；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,,,,,,,,,,NONE,近期無重大事件風險,False
2026-05-13,NEXT_AVAILABLE_TRADING_DAY,2026-05-14,2030,彰源,18.05,82.71,16.67,0.1,EXECUTED,18.3183,OPEN,1.0,18.32,,尚無下一個有效交易日資料，等待下次執行,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查,66.35,原始技術/動能分數 82.71；基本面資料不足，採中性分數；估值資料不足，採中性分數；財報資料不足，採中性分數；近期無重大事件風險；籌碼資料不足，採中性分數,,,,,,,,,,NONE,近期無重大事件風險,False
