candidate_grade,decision,entry_date,exit_date,stock_id,stock_name,entry_price,exit_price,realized_pnl_pct,unrealized_pnl_pct,exit_reason,holding_days,liquidity_score,sector_strength_score,confidence_score,market_regime_score,gap_pct,max_favorable_excursion,max_adverse_excursion,loss_bucket,likely_loss_reason
-,-,2026-05-08,2026-05-11,3528,安馳,91.0,82.4175,-0.098321,0.0,STOP_LOSS,3.0,50.0,50.0,50.0,59.0,,0.0,-0.098321,large_loss,停損出場；市場環境偏弱；資料可信度偏低
-,-,2026-05-08,2026-05-25,3033,威健,43.85,49.1508,0.114804,0.0,trailing_stop,12.0,50.0,50.0,50.0,59.0,,0.22919,0.0,profitable_or_flat,目前非虧損交易
-,HOLD,2026-05-08,,2376,技嘉,317.0,,,0.059937,,14.0,50.0,50.0,50.0,59.0,,0.061514,0.0,profitable_or_flat,目前非虧損交易
B,WATCH_ONLY,2026-05-08,2026-05-15,3416,融程電,175.5,162.837,-0.075308,0.0,stop_loss,5.0,92.0,78.0,90.0,59.0,,0.0,-0.08,small_loss,停損出場；市場環境偏弱
-,-,2026-05-08,2026-05-19,00891,中信關鍵半導體,34.19,31.2687,-0.086723,0.0,stop_loss,8.0,50.0,50.0,50.0,59.0,,0.029248,-0.086723,large_loss,停損出場；市場環境偏弱；資料可信度偏低
-,REDUCE,2026-05-08,2026-05-21,6206,飛捷,119.0,136.863,0.121597,0.176471,take_profit_2,14.0,50.0,50.0,50.0,59.0,,0.210084,0.0,profitable_or_flat,目前非虧損交易
-,-,2026-05-12,2026-05-19,00947,台新臺灣IC設計,38.6987,32.947,-0.151029,0.0,stop_loss,5.0,50.0,50.0,50.0,59.0,,0.0,-0.151029,large_loss,停損出場；市場環境偏弱；資料可信度偏低
-,-,2026-05-12,2026-05-14,2855,統一證,43.7437,40.1099,-0.087487,0.0,STOP_LOSS,2.0,50.0,50.0,50.0,59.0,,0.0,-0.087487,large_loss,停損出場；市場環境偏弱；資料可信度偏低
-,-,2026-05-12,2026-05-13,8213,志超,43.8438,38.6613,-0.122451,0.0,STOP_LOSS,1.0,50.0,50.0,50.0,59.0,,0.0,-0.122451,large_loss,停損出場；市場環境偏弱；資料可信度偏低
-,REDUCE,2026-05-12,2026-05-19,5258,虹堡,54.5545,59.94,0.046687,0.044827,take_profit_1,11.0,50.0,50.0,50.0,59.0,,0.099818,0.0,profitable_or_flat,目前非虧損交易
-,-,2026-05-12,2026-05-15,2357,華碩,686.686,640.359,-0.071957,0.0,stop_loss,3.0,50.0,50.0,50.0,59.0,,0.0,-0.08,small_loss,停損出場；市場環境偏弱；資料可信度偏低
-,HOLD,2026-05-13,,1256,鮮活果汁-KY,199.199,,,-0.016059,,10.0,50.0,50.0,50.0,59.0,,0.0,-0.016059,unrealized_loss,市場環境偏弱；資料可信度偏低
-,REDUCE,2026-05-13,2026-05-15,3048,益登,46.2462,56.0439,0.085869,0.578508,take_profit_2,10.0,50.0,50.0,50.0,59.0,,0.610943,0.0,profitable_or_flat,目前非虧損交易
-,HOLD,2026-05-14,2026-05-26,8926,台汽電,59.7597,68.6313,0.071998,0.149604,take_profit_1,9.0,50.0,50.0,50.0,59.0,,0.149604,0.0,profitable_or_flat,目前非虧損交易
