candidate_grade,decision,entry_date,exit_date,stock_id,stock_name,entry_price,exit_price,realized_pnl_pct,unrealized_pnl_pct,exit_reason,holding_days,liquidity_score,sector_strength_score,confidence_score,market_regime_score,gap_pct,max_favorable_excursion,max_adverse_excursion,loss_bucket,likely_loss_reason
D,HOLD,2026-05-14,,2030,彰源,18.3183,,,-0.020106,,9.0,60.0,78.0,90.0,59.0,,0.009919,-0.020106,unrealized_loss,市場環境偏弱；候選分級偏弱
-,HOLD,2026-05-15,,2425,承啟,35.4354,,,-0.015109,,8.0,50.0,50.0,50.0,59.0,,0.0,-0.015109,unrealized_loss,市場環境偏弱；資料可信度偏低
-,-,2026-05-18,2026-05-18,5538,東明-KY,35.2853,33.5664,-0.052326,0.0,stop_loss,0.0,50.0,50.0,50.0,59.0,,0.0,-0.08,small_loss,停損出場；市場環境偏弱；資料可信度偏低
-,-,2026-05-18,2026-05-19,1776,展宇,18.9189,17.6823,-0.068911,0.0,stop_loss,1.0,50.0,50.0,50.0,59.0,,0.0,-0.08,small_loss,停損出場；市場環境偏弱；資料可信度偏低
-,HOLD,2026-05-18,2026-05-26,6579,研揚,149.149,174.3255,0.081695,0.169971,take_profit_1,6.0,50.0,50.0,50.0,59.0,,0.169971,0.0,profitable_or_flat,目前非虧損交易
-,HOLD,2026-05-18,,3059,華晶科,41.992,,,0.010907,,6.0,50.0,50.0,50.0,59.0,,0.037102,0.0,profitable_or_flat,目前非虧損交易
-,HOLD,2026-05-18,,8163,達方,34.2342,,,0.073488,,6.0,50.0,50.0,50.0,59.0,,0.073488,0.0,profitable_or_flat,目前非虧損交易
-,HOLD,2026-05-19,,4562,穎漢,43.7437,,,-0.019287,,5.0,50.0,50.0,50.0,59.0,,0.0,-0.019287,unrealized_loss,市場環境偏弱；資料可信度偏低
-,REDUCE,2026-05-20,2026-05-22,6834,天二科技,56.4564,70.4295,0.147686,0.450677,take_profit_2,4.0,50.0,50.0,50.0,59.0,,0.450677,0.0,profitable_or_flat,目前非虧損交易
-,REDUCE,2026-05-20,2026-05-21,2478,大毅,96.2962,115.884,0.094779,0.23577,take_profit_2,4.0,50.0,50.0,50.0,59.0,,0.32404,0.0,profitable_or_flat,目前非虧損交易
-,HOLD,2026-05-20,2026-05-26,6902,GOGOLOOK,129.129,140.859,0.043349,0.091931,take_profit_1,4.0,50.0,50.0,50.0,59.0,,0.091931,0.0,profitable_or_flat,目前非虧損交易
-,HOLD,2026-05-20,,4571,鈞興-KY,229.7295,,,-0.02494,,4.0,50.0,50.0,50.0,59.0,,0.0,-0.02494,unrealized_loss,市場環境偏弱；資料可信度偏低
-,-,2026-05-20,2026-05-20,3055,蔚華科,122.122,111.888,-0.102096,0.0,stop_loss,0.0,50.0,50.0,50.0,59.0,,0.0,-0.102096,large_loss,停損出場；市場環境偏弱；資料可信度偏低
