signal_date,planned_entry_date,actual_entry_date,stock_id,stock_name,signal_close,total_score,stop_loss_price,suggested_position_pct,status,entry_price,entry_price_source,shares,position_value,skipped_reason,warning,reason,risk_reason
2026-05-08,NEXT_AVAILABLE_TRADING_DAY,,3528,安馳,91.0,84.67,85.39,0.1,SKIPPED_EXISTING_POSITION,,,,,已有未平倉持倉，略過重複進場,,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查
2026-05-08,NEXT_AVAILABLE_TRADING_DAY,,3033,威健,43.85,84.22,40.6,0.1,SKIPPED_EXISTING_POSITION,,,,,已有未平倉持倉，略過重複進場,,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查
2026-05-08,NEXT_AVAILABLE_TRADING_DAY,,2376,技嘉,317.0,84.01,293.43,0.1,SKIPPED_EXISTING_POSITION,,,,,已有未平倉持倉，略過重複進場,,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查
2026-05-08,NEXT_AVAILABLE_TRADING_DAY,,3416,融程電,175.5,83.93,163.0,0.1,SKIPPED_EXISTING_POSITION,,,,,已有未平倉持倉，略過重複進場,,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查
2026-05-08,NEXT_AVAILABLE_TRADING_DAY,,00891,中信關鍵半導體,34.19,83.64,32.27,0.1,SKIPPED_EXISTING_POSITION,,,,,已有未平倉持倉，略過重複進場,,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查
2026-05-08,NEXT_AVAILABLE_TRADING_DAY,,6206,飛捷,119.0,83.56,110.93,0.1,SKIPPED_EXISTING_POSITION,,,,,已有未平倉持倉，略過重複進場,,收盤價高於 20 日均線；收盤價高於 60 日均線；20 日均線高於 60 日均線；20 日均線斜率為正；收盤價接近 20 日高點；20 日報酬為正且具動能；5 日短線動能為正；成交量高於 20 日均量；基本面資料不足，採中性分數；籌碼資料不足，採中性分數,通過資料品質、停損、部位、流動性與波動檢查
