factor_name,bucket,stock_count,trade_count,avg_forward_return_1d,avg_forward_return_5d,avg_forward_return_20d,win_rate_1d,win_rate_5d,win_rate_20d,avg_return_pct,median_return_pct,total_realized_pnl_after_cost,avg_realized_pnl_after_cost,max_loss_pct,max_gain_pct,benchmark_return_1d,benchmark_return_5d,benchmark_return_20d,alpha_1d,alpha_5d,alpha_20d,conclusion,data_quality_warning,notes
total_score,HIGH,10,0,,,,,,,,,,,,,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
total_score,LOW,10,9,,,,,,,0.073535,0.094779,52085.24,5787.248889,0.004021,0.126689,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
total_score,MID,9,0,,,,,,,,,,,,,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
total_score,MISSING,18,18,,,,,,,-0.025199,-0.071292,-55752.87,-3097.381667,-0.151029,0.208411,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
multi_factor_score,HIGH,10,0,,,,,,,,,,,,,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
multi_factor_score,LOW,10,9,,,,,,,0.073535,0.094779,52085.24,5787.248889,0.004021,0.126689,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
multi_factor_score,MID,9,0,,,,,,,,,,,,,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
multi_factor_score,MISSING,18,18,,,,,,,-0.025199,-0.071292,-55752.87,-3097.381667,-0.151029,0.208411,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
final_market_score,HIGH,10,0,,,,,,,,,,,,,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
final_market_score,LOW,10,9,,,,,,,0.073535,0.094779,52085.24,5787.248889,0.004021,0.126689,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
final_market_score,MID,9,0,,,,,,,,,,,,,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
final_market_score,MISSING,18,18,,,,,,,-0.025199,-0.071292,-55752.87,-3097.381667,-0.151029,0.208411,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
confidence_score,HIGH,12,0,,,,,,,,,,,,,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
confidence_score,MID,17,9,,,,,,,0.073535,0.094779,52085.24,5787.248889,0.004021,0.126689,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
confidence_score,MISSING,18,18,,,,,,,-0.025199,-0.071292,-55752.87,-3097.381667,-0.151029,0.208411,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
liquidity_score,HIGH,5,0,,,,,,,,,,,,,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
liquidity_score,LOW,18,9,,,,,,,0.073535,0.094779,52085.24,5787.248889,0.004021,0.126689,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
liquidity_score,MID,6,0,,,,,,,,,,,,,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
liquidity_score,MISSING,18,18,,,,,,,-0.025199,-0.071292,-55752.87,-3097.381667,-0.151029,0.208411,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
sector_strength_score,HIGH,1,0,,,,,,,,,,,,,,0.0066413662239088,0.0949432404540762,,,,DATA_INSUFFICIENT,DATA_INSUFFICIENT,trade_count < 20，不可作為正式調參依據；DATA_INSUFFICIENT
