trade_date,stock_id,stock_name,source_name,source_type,source_date,field_name,field_value,evidence_summary,fallback_used,confidence_impact
2026-07-02,1342,八貫,candidate,csv,2026-07-02,candidate_grade,B,candidate_grade=B,False,0.8
2026-07-02,1342,八貫,candidate,csv,2026-07-02,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-07-02,1342,八貫,candidate,csv,2026-07-02,pe_ratio,18.82,pe_ratio=18.82,False,0.8
2026-07-02,1342,八貫,candidate,csv,2026-07-02,pb_ratio,4.18,pb_ratio=4.18,False,0.8
2026-07-02,1342,八貫,candidate,csv,2026-07-02,dividend_yield,5.36,dividend_yield=5.36,False,0.8
2026-07-02,1342,八貫,candidate,csv,2026-07-02,margin_change_5d,-150.0,margin_change_5d=-150.0,False,0.8
2026-07-02,1342,八貫,candidate,csv,2026-07-02,price_return_5d,0.18114406779661,price_return_5d=0.18114406779661,False,0.8
2026-07-02,1342,八貫,candidate,csv,2026-07-02,liquidity_score,75.0,liquidity_score=75.0,False,0.8
2026-07-02,1342,八貫,candidate,csv,2026-07-02,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-07-02,3022,威強電,candidate,csv,2026-07-02,candidate_grade,B,candidate_grade=B,False,0.8
2026-07-02,3022,威強電,candidate,csv,2026-07-02,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-07-02,3022,威強電,candidate,csv,2026-07-02,pe_ratio,22.38,pe_ratio=22.38,False,0.8
2026-07-02,3022,威強電,candidate,csv,2026-07-02,pb_ratio,1.21,pb_ratio=1.21,False,0.8
2026-07-02,3022,威強電,candidate,csv,2026-07-02,dividend_yield,4.43,dividend_yield=4.43,False,0.8
2026-07-02,3022,威強電,candidate,csv,2026-07-02,margin_change_5d,383.0,margin_change_5d=383.0,False,0.8
2026-07-02,3022,威強電,candidate,csv,2026-07-02,price_return_5d,0.1184041184041184,price_return_5d=0.1184041184041184,False,0.8
2026-07-02,3022,威強電,candidate,csv,2026-07-02,liquidity_score,92.0,liquidity_score=92.0,False,0.8
2026-07-02,3022,威強電,candidate,csv,2026-07-02,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-07-02,3022,威強電,candidate,csv,2026-07-02,risk_flags,融資連增但股價不漲,risk_flags=融資連增但股價不漲,False,0.8
2026-07-02,2414,精技,candidate,csv,2026-07-02,candidate_grade,B,candidate_grade=B,False,0.8
2026-07-02,2414,精技,candidate,csv,2026-07-02,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-07-02,2414,精技,candidate,csv,2026-07-02,pe_ratio,14.67,pe_ratio=14.67,False,0.8
2026-07-02,2414,精技,candidate,csv,2026-07-02,pb_ratio,2.45,pb_ratio=2.45,False,0.8
2026-07-02,2414,精技,candidate,csv,2026-07-02,dividend_yield,5.79,dividend_yield=5.79,False,0.8
2026-07-02,2414,精技,candidate,csv,2026-07-02,margin_change_5d,196.0,margin_change_5d=196.0,False,0.8
2026-07-02,2414,精技,candidate,csv,2026-07-02,price_return_5d,0.0984555984555985,price_return_5d=0.0984555984555985,False,0.8
2026-07-02,2414,精技,candidate,csv,2026-07-02,liquidity_score,60.0,liquidity_score=60.0,False,0.8
2026-07-02,2414,精技,candidate,csv,2026-07-02,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-07-02,2414,精技,candidate,csv,2026-07-02,risk_flags,融資連增但股價不漲,risk_flags=融資連增但股價不漲,False,0.8
2026-07-02,2597,潤弘,candidate,csv,2026-07-02,candidate_grade,B,candidate_grade=B,False,0.8
2026-07-02,2597,潤弘,candidate,csv,2026-07-02,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-07-02,2597,潤弘,candidate,csv,2026-07-02,pe_ratio,16.24,pe_ratio=16.24,False,0.8
2026-07-02,2597,潤弘,candidate,csv,2026-07-02,pb_ratio,6.16,pb_ratio=6.16,False,0.8
2026-07-02,2597,潤弘,candidate,csv,2026-07-02,dividend_yield,5.24,dividend_yield=5.24,False,0.8
2026-07-02,2597,潤弘,candidate,csv,2026-07-02,margin_change_5d,-29.0,margin_change_5d=-29.0,False,0.8
2026-07-02,2597,潤弘,candidate,csv,2026-07-02,price_return_5d,0.100864553314121,price_return_5d=0.100864553314121,False,0.8
2026-07-02,2597,潤弘,candidate,csv,2026-07-02,liquidity_score,92.0,liquidity_score=92.0,False,0.8
2026-07-02,2597,潤弘,candidate,csv,2026-07-02,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-07-02,2597,潤弘,candidate,csv,2026-07-02,risk_flags,PB 偏高,risk_flags=PB 偏高,False,0.8
2026-07-02,0055,元大MSCI金融,candidate,csv,2026-07-02,candidate_grade,C,candidate_grade=C,False,0.8
2026-07-02,0055,元大MSCI金融,candidate,csv,2026-07-02,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-07-02,0055,元大MSCI金融,candidate,csv,2026-07-02,margin_change_5d,142.0,margin_change_5d=142.0,False,0.8
2026-07-02,0055,元大MSCI金融,candidate,csv,2026-07-02,price_return_5d,0.1013938234490297,price_return_5d=0.1013938234490297,False,0.8
2026-07-02,0055,元大MSCI金融,candidate,csv,2026-07-02,liquidity_score,60.0,liquidity_score=60.0,False,0.8
2026-07-02,0055,元大MSCI金融,candidate,csv,2026-07-02,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
