trade_date,stock_id,stock_name,decision,hold,reduce,exit_review,near_stop_loss,near_take_profit,data_quality_warning,current_price,stop_loss_price,unrealized_pnl_pct,risk_light,review_reason
2026-06-01,2376,技嘉,REDUCE,False,True,False,False,False,False,387.0,293.43,0.22082,,一般人工確認
2026-06-01,6206,飛捷,REDUCE,False,True,False,False,False,False,141.5,110.93,0.189076,,一般人工確認
2026-06-01,1256,鮮活果汁-KY,HOLD,True,False,False,False,False,False,209.5,175.07,0.051712,,一般人工確認
2026-06-01,8926,台汽電,REDUCE,False,True,False,False,False,False,67.2,52.98,0.124504,,一般人工確認
2026-06-01,2030,彰源,HOLD,True,False,False,False,False,False,18.3,16.67,-0.000999,,一般人工確認
2026-06-01,2425,承啟,HOLD,True,False,False,False,False,False,36.7,32.45,0.035687,,一般人工確認
2026-06-01,6579,研揚,REDUCE,False,True,False,False,False,False,167.5,138.46,0.123038,,一般人工確認
2026-06-01,4562,穎漢,HOLD,True,False,False,False,False,False,45.55,39.51,0.041293,,一般人工確認
2026-06-01,2478,大毅,REDUCE,False,True,False,False,False,False,144.0,88.6,0.495386,,一般人工確認
2026-06-01,6902,GOGOLOOK,REDUCE,False,True,False,False,False,False,147.0,116.84,0.138396,,一般人工確認
2026-06-01,4571,鈞興-KY,HOLD,True,False,False,False,False,False,217.5,209.3,-0.053234,,一般人工確認
