source_name,status,rows,warning,error_message,requested_period,actual_period,latest_available_period,source_url_or_name,is_real_data,is_mock,is_stale,data_age_days,coverage_ratio,affected_symbols_count,data_freshness_level,fallback_reason,fallback_action
monthly_revenue,OK,1078,,,,,,,False,False,False,,,,,,
valuation,OK,1078,,,,,,,False,False,False,,,,,,
financials,OK,1043,,,,,,,False,False,False,,,,,,
material_events,OK,2,,,,,,,False,False,False,,,,,,
institutional,OK,1320,,,,,,,False,False,False,,,,,,
margin_short,OK,1273,,,,,,,False,False,False,,,,,,
attention_disposition,OK,44,,,,,,,False,False,False,,,,,,
sector_strength,OK,1433,,,,,,,False,False,False,,,,,,
liquidity,OK,1433,,,,,,,False,False,False,,,,,,
market_intel,OK_WITH_WARNING,20,市場事件資料不足，採中性處理；非交易日，使用最近交易日資料。,,2026-06-07,2026-06-05,2026-06-05,market_intel provider,True,False,False,2,,20,CURRENT,no trading data,non_trading_day_fallback
