trade_date,stock_id,stock_name,is_etf,market_type,decision,candidate_grade,review_level,has_industry,has_valuation,has_financials,has_revenue,has_institutional,has_margin,has_event_data,has_etf_metadata,missing_fields
2026-05-28,00913,兆豐台灣晶圓製造,True,nan,WATCH_ONLY,C,RISK_REVIEW,True,True,True,True,True,True,False,False,EVENT_DATA_MISSING；ETF_METADATA_MISSING
2026-05-28,1409,新纖,False,nan,WATCH_ONLY,B,RISK_REVIEW,True,True,False,True,True,True,False,True,FINANCIAL_MISSING；EVENT_DATA_MISSING
2026-05-28,2881,富邦金,False,nan,WATCH_ONLY,B,DATA_REVIEW,True,True,False,True,True,True,False,True,FINANCIAL_MISSING；EVENT_DATA_MISSING
2026-05-28,00901,永豐智能車供應鏈,True,nan,WATCH_ONLY,C,DATA_REVIEW,True,True,True,True,True,True,False,False,EVENT_DATA_MISSING；ETF_METADATA_MISSING
2026-05-28,1568,倉佑,False,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,True,True,
2026-05-28,1530,亞崴,False,nan,WATCH_ONLY,C,RISK_REVIEW,True,True,True,True,True,True,True,True,
2026-05-28,1563,巧新,False,nan,WATCH_ONLY,C,RISK_REVIEW,True,True,True,True,True,True,True,True,
2026-05-28,3311,閎暉,False,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,False,True,EVENT_DATA_MISSING
2026-05-28,00927,群益半導體收益,True,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,False,False,EVENT_DATA_MISSING；ETF_METADATA_MISSING
2026-05-28,00876,元大全球5G,True,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,False,False,EVENT_DATA_MISSING；ETF_METADATA_MISSING
2026-05-28,6005,群益證,False,nan,NO_TRADE,D,RISK_REVIEW,True,True,False,True,True,True,True,True,FINANCIAL_MISSING
2026-05-28,2438,翔耀,False,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,True,True,
2026-05-28,4555,氣立,False,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,True,True,
2026-05-28,3257,虹冠電,False,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,False,True,EVENT_DATA_MISSING
2026-05-28,6116,彩晶,False,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,True,True,
2026-05-28,8150,南茂,False,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,True,True,
2026-05-28,6239,力成,False,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,True,True,
2026-05-28,6770,力積電,False,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,True,True,
2026-05-28,2353,宏碁,False,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,False,True,EVENT_DATA_MISSING
2026-05-28,00935,野村臺灣新科技50,True,nan,NO_TRADE,D,RISK_REVIEW,True,True,True,True,True,True,False,False,EVENT_DATA_MISSING；ETF_METADATA_MISSING
