trade_date,stock_id,stock_name,source_name,source_type,source_date,field_name,field_value,evidence_summary,fallback_used,confidence_impact
2026-06-04,6585,鼎基,candidate,csv,2026-06-04,candidate_grade,B,candidate_grade=B,False,0.8
2026-06-04,6585,鼎基,candidate,csv,2026-06-04,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-04,6585,鼎基,candidate,csv,2026-06-04,pe_ratio,20.24,pe_ratio=20.24,False,0.8
2026-06-04,6585,鼎基,candidate,csv,2026-06-04,pb_ratio,1.93,pb_ratio=1.93,False,0.8
2026-06-04,6585,鼎基,candidate,csv,2026-06-04,dividend_yield,4.54,dividend_yield=4.54,False,0.8
2026-06-04,6585,鼎基,candidate,csv,2026-06-04,margin_change_5d,303.0,margin_change_5d=303.0,False,0.8
2026-06-04,6585,鼎基,candidate,csv,2026-06-04,price_return_5d,0.1213991769547324,price_return_5d=0.1213991769547324,False,0.8
2026-06-04,6585,鼎基,candidate,csv,2026-06-04,liquidity_score,60.0,liquidity_score=60.0,False,0.8
2026-06-04,6585,鼎基,candidate,csv,2026-06-04,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-04,6585,鼎基,candidate,csv,2026-06-04,risk_flags,融資連增但股價不漲,risk_flags=融資連增但股價不漲,False,0.8
2026-06-04,6957,裕慶-KY,candidate,csv,2026-06-04,candidate_grade,B,candidate_grade=B,False,0.8
2026-06-04,6957,裕慶-KY,candidate,csv,2026-06-04,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-04,6957,裕慶-KY,candidate,csv,2026-06-04,pe_ratio,17.8,pe_ratio=17.8,False,0.8
2026-06-04,6957,裕慶-KY,candidate,csv,2026-06-04,pb_ratio,4.53,pb_ratio=4.53,False,0.8
2026-06-04,6957,裕慶-KY,candidate,csv,2026-06-04,dividend_yield,4.79,dividend_yield=4.79,False,0.8
2026-06-04,6957,裕慶-KY,candidate,csv,2026-06-04,margin_change_5d,40.0,margin_change_5d=40.0,False,0.8
2026-06-04,6957,裕慶-KY,candidate,csv,2026-06-04,price_return_5d,0.1865443425076451,price_return_5d=0.1865443425076451,False,0.8
2026-06-04,6957,裕慶-KY,candidate,csv,2026-06-04,liquidity_score,60.0,liquidity_score=60.0,False,0.8
2026-06-04,6957,裕慶-KY,candidate,csv,2026-06-04,sector_strength_score,78.0,sector_strength_score=78.0,False,0.8
2026-06-04,6957,裕慶-KY,candidate,csv,2026-06-04,risk_flags,融資連增但股價不漲,risk_flags=融資連增但股價不漲,False,0.8
2026-06-04,00962,台新AI優息動能,candidate,csv,2026-06-04,candidate_grade,C,candidate_grade=C,False,0.8
2026-06-04,00962,台新AI優息動能,candidate,csv,2026-06-04,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-04,00962,台新AI優息動能,candidate,csv,2026-06-04,margin_change_5d,-104.0,margin_change_5d=-104.0,False,0.8
2026-06-04,00962,台新AI優息動能,candidate,csv,2026-06-04,price_return_5d,0.1059972105997211,price_return_5d=0.1059972105997211,False,0.8
2026-06-04,00962,台新AI優息動能,candidate,csv,2026-06-04,liquidity_score,60.0,liquidity_score=60.0,False,0.8
2026-06-04,00962,台新AI優息動能,candidate,csv,2026-06-04,sector_strength_score,68.0,sector_strength_score=68.0,False,0.8
2026-06-04,00916,國泰全球品牌50,candidate,csv,2026-06-04,candidate_grade,C,candidate_grade=C,False,0.8
2026-06-04,00916,國泰全球品牌50,candidate,csv,2026-06-04,decision,WATCH_ONLY,decision=WATCH_ONLY,False,0.8
2026-06-04,00916,國泰全球品牌50,candidate,csv,2026-06-04,margin_change_5d,96.0,margin_change_5d=96.0,False,0.8
