trade_date,stock_id,stock_name,industry,sub_industry,industry_source,sector_strength_mode,stock_return_5d,stock_return_20d,market_return_5d,market_return_20d,sector_return_5d,sector_return_20d,relative_strength_5d,relative_strength_20d,sector_strength_score,sector_strength_rank,sector_strength_warning
2026-07-06,00400A,主動國泰動能高息,ETF,主動式 ETF,rule_based_etf_mapping,industry_relative,0.05559465165376487,0.009421265141319024,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,0.052015818774730695,0.021645393237321956,68.0,624,
2026-07-06,00401A,主動摩根台灣鑫收,ETF,主動式 ETF,rule_based_etf_mapping,industry_relative,0.03860711582134746,-0.00867052023121384,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,0.035028282942313284,0.0035536078647890913,68.0,732,
2026-07-06,00402A,主動安聯美國科技,全市場,,,market_relative_fallback,0.01030927835051565,,-0.010132345030461877,-0.028580510461154725,-0.010132345030461877,-0.028580510461154725,0.020441623380977526,,58.0,1353,缺少產業分類，使用全市場相對強弱
2026-07-06,00403A,主動統一升級50,ETF,主動式 ETF,rule_based_etf_mapping,industry_relative,0.035037878787878673,0.032105760151085905,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,0.0314590459088445,0.04432988824708883,68.0,455,
2026-07-06,00404A,主動聯博動能50,全市場,,,market_relative_fallback,0.05230769230769239,,-0.010132345030461877,-0.028580510461154725,-0.010132345030461877,-0.028580510461154725,0.062440037338154265,,58.0,1353,缺少產業分類，使用全市場相對強弱
2026-07-06,00405A,主動富邦台灣龍耀,全市場,,,market_relative_fallback,0.016666666666666607,,-0.010132345030461877,-0.028580510461154725,-0.010132345030461877,-0.028580510461154725,0.026799011697128484,,58.0,1353,缺少產業分類，使用全市場相對強弱
2026-07-06,00406A,主動中信台灣收益,全市場,,,market_relative_fallback,0.04069175991861651,,-0.010132345030461877,-0.028580510461154725,-0.010132345030461877,-0.028580510461154725,0.05082410494907839,,58.0,1353,缺少產業分類，使用全市場相對強弱
2026-07-06,00407A,主動凱基台灣,全市場,,,market_relative_fallback,0.04012671594508954,,-0.010132345030461877,-0.028580510461154725,-0.010132345030461877,-0.028580510461154725,0.05025906097555142,,58.0,1353,缺少產業分類，使用全市場相對強弱
2026-07-06,0050,元大台灣50,ETF,台股 ETF,rule_based_etf_mapping,industry_relative,0.036381043561512616,0.039366298607777184,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,0.03280221068247844,0.05159042670378011,78.0,416,
2026-07-06,0051,元大中型100,ETF,台股 ETF,rule_based_etf_mapping,industry_relative,-0.004362416107382638,0.004060913705583813,-0.010132345030461877,-0.028580510461154725,0.003578832879034175,-0.012224128096002932,-0.007941248986416814,0.016285041801586745,60.0,651,
