trade_date,stock_id,stock_name,avg_volume_20d,avg_turnover_20d,latest_volume,latest_turnover,turnover_ratio_20d,liquidity_score,slippage_risk_score,liquidity_warning
2026-06-30,1441,大東,51336.35,472693.0,70165.0,632115.0,1.3372632977429326,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1442,名軒,515620.7,14165342.6,106917.0,2863659.0,0.20215952983728047,50.0,50.0,
2026-06-30,1443,立益物流,31385.75,829028.85,16508.0,431448.0,0.520425797003325,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1444,力麗,4636303.9,35232269.25,16896428.0,148392426.0,4.211832764646575,60.0,65.0,
2026-06-30,1445,大宇,130153.8,1477217.65,403972.0,4719289.0,3.1947147395646134,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1446,宏和,329114.05,5458369.7,269688.0,4494663.0,0.8234442236479511,50.0,50.0,
2026-06-30,1447,力鵬,2856721.8,18785489.0,4325235.0,32525711.0,1.7314274331639703,50.0,50.0,
2026-06-30,1449,佳和,3128708.25,46829233.95,1107850.0,15692680.0,0.3351043499185833,60.0,65.0,
2026-06-30,1451,年興,194419.75,3266837.5,91190.0,1547430.0,0.4736782897833149,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1452,宏益,112642.0,1240447.15,131774.0,1437023.0,1.1584717656048467,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1453,大將,163545.65,1905706.6,44404.0,498687.0,0.2616808904371743,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1454,台富,54303.05,714213.85,17872.0,227668.0,0.31876727117515297,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1455,集盛,2263776.05,22060008.15,2398644.0,23787445.0,1.078306265267631,60.0,65.0,
2026-06-30,1456,怡華,148067.4,2126650.05,62201.0,883939.0,0.41564854546708335,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1457,宜進,445262.35,6671990.15,131400.0,1850031.0,0.2772832330994973,50.0,50.0,
2026-06-30,1459,聯發,161334.7,1886098.65,99497.0,1163001.0,0.6166172697276465,35.0,30.0,流動性偏低，短線進出可能有滑價風險
