stock_id,stock_name,financial_quarter,eps,eps_yoy,roe,gross_margin,operating_margin,net_margin,debt_ratio,operating_cash_flow,financial_source,financial_source_status,financial_period
1339,昭輝,115Q1,2.78,,,24.6166,-0.2633,56.7004,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1340,勝悅-KY,115Q1,-0.3,,,-181.268,-376.9917,-399.1255,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1341,富林-KY,115Q1,1.62,,,25.0581,15.1513,12.5971,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1342,八貫,115Q1,2.08,,,27.2031,20.3582,17.6816,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1402,遠東新,115Q1,0.61,,,21.9015,7.9878,9.0595,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1410,南染,115Q1,0.03,,,31.616,-2.1116,0.8115,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1413,宏洲,115Q1,-0.13,,,-0.8687,-3.3687,-3.8754,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1414,東和,115Q1,0.06,,,11.1025,-6.1991,9.6913,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1416,廣豐,115Q1,0.18,,,34.9563,-1.1026,34.0681,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1417,嘉裕,115Q1,-0.22,,,66.827,-2.6939,-57.3453,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1418,東華,115Q1,-0.75,,,-8.179,-3514.1975,-6311.7284,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1419,新紡,115Q1,9.37,,,25.8605,10.5063,193.0474,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1423,利華,115Q1,0.15,,,25.0792,-2.0203,49.1563,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1432,大魯閣,115Q1,-0.54,,,16.5035,-26.6298,-31.6177,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1434,福懋,115Q1,0.2,,,11.1775,2.8465,4.8229,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1435,中福,115Q1,-0.08,,,64.0803,-614.9833,-740.2007,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1436,華友聯,115Q1,-0.31,,,49.22,-16.1033,-83.5442,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1437,勤益控,115Q1,0.68,,,61.4128,47.04,79.56,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1438,三地開發,115Q1,0.65,,,39.5629,32.4118,19.0279,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1439,雋揚,115Q1,0.59,,,30.1191,6.4601,76.5439,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1440,南紡,115Q1,-0.05,,,8.7251,-3.8372,-2.1809,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1441,大東,115Q1,-0.62,,,1.4184,-11.1664,-15.487,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1442,名軒,115Q1,0.23,,,49.8659,34.4387,28.371,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1443,立益物流,115Q1,0.52,,,47.6934,35.9989,32.3056,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1444,力麗,115Q1,0.07,,,5.4727,-0.66,3.0879,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1445,大宇,115Q1,0.03,,,24.6466,2.3431,2.3221,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1446,宏和,115Q1,0.5,,,39.1037,22.3444,37.828,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1447,力鵬,115Q1,0.1,,,2.6609,0.7183,1.1214,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1449,佳和,115Q1,-0.23,,,10.0601,-7.573,-3.5156,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1451,年興,115Q1,0.47,,,16.4521,5.8947,6.0398,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1452,宏益,115Q1,-0.09,,,3.3048,-3.5135,-3.5387,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1453,大將,115Q1,-0.05,,,63.9257,-2244.8276,-1399.2042,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1454,台富,115Q1,-0.2,,,3.8028,-9.7002,-8.1467,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1455,集盛,115Q1,-0.05,,,2.1256,-3.5691,-2.1158,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1456,怡華,115Q1,-0.43,,,39.6804,24.9919,-18.5666,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1457,宜進,115Q1,0.2,,,5.9189,12.4954,4.9039,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1459,聯發,115Q1,0.03,,,18.8787,10.5144,4.1807,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1460,宏遠,115Q1,0.02,,,17.6794,0.6971,0.7816,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1463,強盛新,115Q1,-0.01,,,17.0612,-9.1507,-3.9608,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1464,得力,115Q1,0.3,,,20.8842,3.5167,4.1531,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1465,偉全,115Q1,0.27,,,2.3588,-13.7528,28.5209,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1466,聚隆,115Q1,0.17,,,12.6449,1.5401,3.8802,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1467,南緯,115Q1,0.11,,,19.7598,0.5458,2.3422,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1468,昶和,115Q1,0.17,,,25.9048,5.3736,21.4072,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1470,大統新創,115Q1,0.31,,,26.9883,12.2715,13.9416,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1471,首利,115Q1,-0.03,,,-20.2462,-144.449,-17.3026,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1472,三洋實業,115Q1,1.78,,,14.6671,11.6361,10.2255,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1473,台南,115Q1,0.69,,,18.3786,5.2688,5.1217,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1474,弘裕,115Q1,0.09,,,10.9049,-0.7586,1.4473,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1475,業旺,115Q1,0.88,,,17.8859,12.1908,16.6352,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1476,儒鴻,115Q1,6.69,,,32.1662,22.8136,19.0677,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1477,聚陽,115Q1,4.35,,,26.1441,15.481,12.1098,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1503,士電,115Q1,2.79,,,23.7717,16.0472,13.1124,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1504,東元,115Q1,0.51,,,23.4741,8.279,8.7016,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1506,正道,115Q1,0.02,,,17.4394,2.1274,1.8333,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1512,瑞利,115Q1,0.09,,,31.8038,-4.7145,2.6408,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1513,中興電,115Q1,1.94,,,25.9755,18.5404,14.7946,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1514,亞力,115Q1,0.73,,,17.5446,8.357,7.9348,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1515,力山,115Q1,0.07,,,14.7402,-0.4275,1.0999,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1516,川飛,115Q1,-0.05,,,6.1134,-8.8288,-7.9631,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1517,利奇,115Q1,-0.19,,,1.1312,-19.5927,-8.3931,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1519,華城,115Q1,3.29,,,43.6057,21.1982,21.3565,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1521,大億,115Q1,0.44,,,15.0491,3.1916,3.3203,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1522,堤維西,115Q1,-0.19,,,15.4794,-1.2136,-0.3657,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1524,耿鼎,115Q1,0.53,,,30.2842,16.6291,15.4706,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1525,江申,115Q1,-0.82,,,14.4302,1.0379,-21.2469,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1526,日馳,115Q1,-0.44,,,12.5785,-19.5083,-16.3811,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1527,鑽全,115Q1,0.32,,,18.4124,3.8518,7.0883,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1528,恩德,115Q1,-0.15,,,30.4658,-5.0599,-4.1182,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1529,樂事綠能,115Q1,0.16,,,16.0802,9.8611,11.4707,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
