stock_id,stock_name,date,pe_ratio,pb_ratio,dividend_yield,financial_quarter,valuation_source,valuation_source_status
1432,大魯閣,2026-06-10,3.17,1.17,11.56,,TWSE OpenAPI BWIBBU_ALL,OK
1434,福懋,2026-06-10,27.42,0.61,3.04,,TWSE OpenAPI BWIBBU_ALL,OK
1436,華友聯,2026-06-10,11.0,1.68,10.68,,TWSE OpenAPI BWIBBU_ALL,OK
1437,勤益控,2026-06-10,10.38,0.7,3.34,,TWSE OpenAPI BWIBBU_ALL,OK
1438,三地開發,2026-06-10,7.93,0.76,0.91,,TWSE OpenAPI BWIBBU_ALL,OK
1439,雋揚,2026-06-10,8.2,0.78,1.98,,TWSE OpenAPI BWIBBU_ALL,OK
1440,南紡,2026-06-10,,0.79,2.27,,TWSE OpenAPI BWIBBU_ALL,OK
1441,大東,2026-06-10,,1.55,,,TWSE OpenAPI BWIBBU_ALL,OK
1442,名軒,2026-06-10,14.29,1.27,8.57,,TWSE OpenAPI BWIBBU_ALL,OK
1443,立益物流,2026-06-10,24.0,1.56,,,TWSE OpenAPI BWIBBU_ALL,OK
1444,力麗,2026-06-10,,0.69,,,TWSE OpenAPI BWIBBU_ALL,OK
1445,大宇,2026-06-10,,0.71,4.46,,TWSE OpenAPI BWIBBU_ALL,OK
1446,宏和,2026-06-10,9.85,0.81,8.96,,TWSE OpenAPI BWIBBU_ALL,OK
1447,力鵬,2026-06-10,,0.72,,,TWSE OpenAPI BWIBBU_ALL,OK
1449,佳和,2026-06-10,,0.82,,,TWSE OpenAPI BWIBBU_ALL,OK
1451,年興,2026-06-10,18.6,0.45,6.04,,TWSE OpenAPI BWIBBU_ALL,OK
1452,宏益,2026-06-10,,0.54,1.85,,TWSE OpenAPI BWIBBU_ALL,OK
1453,大將,2026-06-10,106.36,0.92,2.56,,TWSE OpenAPI BWIBBU_ALL,OK
1454,台富,2026-06-10,,1.18,0.78,,TWSE OpenAPI BWIBBU_ALL,OK
1455,集盛,2026-06-10,,0.91,1.62,,TWSE OpenAPI BWIBBU_ALL,OK
1456,怡華,2026-06-10,4.03,0.69,,,TWSE OpenAPI BWIBBU_ALL,OK
1457,宜進,2026-06-10,16.1,0.66,6.83,,TWSE OpenAPI BWIBBU_ALL,OK
1459,聯發,2026-06-10,7.48,1.04,1.72,,TWSE OpenAPI BWIBBU_ALL,OK
1460,宏遠,2026-06-10,,0.83,,,TWSE OpenAPI BWIBBU_ALL,OK
1463,強盛新,2026-06-10,,1.16,0.73,,TWSE OpenAPI BWIBBU_ALL,OK
1464,得力,2026-06-10,27.97,0.8,2.42,,TWSE OpenAPI BWIBBU_ALL,OK
1465,偉全,2026-06-10,,0.81,2.46,,TWSE OpenAPI BWIBBU_ALL,OK
1466,聚隆,2026-06-10,,1.0,1.41,,TWSE OpenAPI BWIBBU_ALL,OK
1467,南緯,2026-06-10,,0.62,,,TWSE OpenAPI BWIBBU_ALL,OK
1468,昶和,2026-06-10,97.08,1.28,,,TWSE OpenAPI BWIBBU_ALL,OK
1470,大統新創,2026-06-10,25.98,1.97,2.88,,TWSE OpenAPI BWIBBU_ALL,OK
1471,首利,2026-06-10,,1.13,,,TWSE OpenAPI BWIBBU_ALL,OK
1472,三洋實業,2026-06-10,13.83,1.97,6.75,,TWSE OpenAPI BWIBBU_ALL,OK
1473,台南,2026-06-10,,0.76,2.44,,TWSE OpenAPI BWIBBU_ALL,OK
1474,弘裕,2026-06-10,42.5,0.6,2.45,,TWSE OpenAPI BWIBBU_ALL,OK
1475,業旺,2026-06-10,10.63,1.18,5.54,,TWSE OpenAPI BWIBBU_ALL,OK
1476,儒鴻,2026-06-10,16.64,3.43,4.36,,TWSE OpenAPI BWIBBU_ALL,OK
1477,聚陽,2026-06-10,16.03,4.21,6.76,,TWSE OpenAPI BWIBBU_ALL,OK
1503,士電,2026-06-10,32.34,2.98,2.3,,TWSE OpenAPI BWIBBU_ALL,OK
1504,東元,2026-06-10,30.89,1.94,2.88,,TWSE OpenAPI BWIBBU_ALL,OK
1506,正道,2026-06-10,142.86,1.07,,,TWSE OpenAPI BWIBBU_ALL,OK
1512,瑞利,2026-06-10,25.26,1.0,,,TWSE OpenAPI BWIBBU_ALL,OK
1513,中興電,2026-06-10,19.99,3.78,3.65,,TWSE OpenAPI BWIBBU_ALL,OK
1514,亞力,2026-06-10,34.69,4.93,1.85,,TWSE OpenAPI BWIBBU_ALL,OK
1515,力山,2026-06-10,23.83,1.09,2.57,,TWSE OpenAPI BWIBBU_ALL,OK
1516,川飛,2026-06-10,1097.5,4.3,,,TWSE OpenAPI BWIBBU_ALL,OK
1517,利奇,2026-06-10,,0.66,1.97,,TWSE OpenAPI BWIBBU_ALL,OK
1519,華城,2026-06-10,54.36,30.33,1.52,,TWSE OpenAPI BWIBBU_ALL,OK
1521,大億,2026-06-10,36.62,1.08,2.88,,TWSE OpenAPI BWIBBU_ALL,OK
